ano;alltags;musica;artista
1971;Detalhes - Roberto Carlos;Detalhes ; Roberto Carlos
1971;Tarde em Itapoã - Toquinho, Vinicius & Marília Medalha;Tarde em Itapoã; Toquinho, Vinicius & Marília Medalha
1971;Its Too Late - Carole King;Its Too Late ; Carole King
1971;Você Abusou - Antonio Carlos & Jocafi;Você Abusou ; Antonio Carlos & Jocafi
1971;How Can You Mend A Broken Heart - Bee Gees;How Can You Mend A Broken Heart ; Bee Gees
1971;Have You Ever Seen The Rain - Creedence Clearwater Revival;Have You Ever Seen The Rain ; Creedence Clearwater Revival
1971;Debaixo dos Caracóis dos Seus Cabelos - Roberto Carlos;Debaixo dos Caracóis dos Seus Cabelos ; Roberto Carlos
1971;Ê Baiana - Clara Nunes;Ê Baiana ; Clara Nunes
1971;Maggie May - Rod Stewart;Maggie May ; Rod Stewart
1971;Candida - Dawn;Candida ; Dawn
1971;Never Can Say Goodbye - Jackson 5;Never Can Say Goodbye ; Jackson 5
1971;Menina da Ladeira - João Só;Menina da Ladeira ; João Só
1971;Como Dois e Dois - Gal Costa;Como Dois e Dois ; Gal Costa
1971;Cotidiano - Chico Buarque;Cotidiano ; Chico Buarque
1971;Rose Garden - Lynn Anderson;Rose Garden ; Lynn Anderson
1971;Youve Got A Friend - James Taylor;Youve Got A Friend ; James Taylor
1971;A Tonga da Mironga do Kabuletê - Toquinho, Vinicius & Monsueto;A Tonga da Mironga do Kabuletê ; Toquinho, Vinicius & Monsueto
1971;My Sweet Lord - George Harrison;My Sweet Lord ; George Harrison
1971;Você - Tim Maia;Você ; Tim Maia
1971;Black Magic Woman - Santana;Black Magic Woman ; Santana
1971;Whats Going On - Marvin Gaye;Whats Going On ; Marvin Gaye
1971;If - Bread;If ; Bread
1971;Joy To The World - Three Dog Night;Joy To The World ; Three Dog Night
1971;Festa Para Um Rei Negro - Jair Rodrigues;Festa Para Um Rei Negro ; Jair Rodrigues
1971;Me And Bobby McGee - Janis Joplin;Me And Bobby McGee ; Janis Joplin
1971;Be My Baby - Andy Kim;Be My Baby ; Andy Kim
1971;Theme From Shaft - Isaac Hayes;Theme From Shaft ; Isaac Hayes
