ano;alltags;musica;artista
1972;Alone Again (Naturally) - Gilbert OSullivan;Alone Again (Naturally) ; Gilbert OSullivan
1972;Ilu Ayê - Clara Nunes;Ilu Ayê ; Clara Nunes
1972;Fio Maravilha - Maria Alcina;Fio Maravilha ; Maria Alcina
1972;The First Time Ever I Saw Your Face - Roberta Flack;The First Time Ever I Saw Your Face ; Roberta Flack
1972;Rock And Roll Lullaby - B.J. Thomas;Rock And Roll Lullaby ; B.J. Thomas
1972;Como Vai Você - Roberto Carlos;Como Vai Você ; Roberto Carlos
1972;Summer Holiday - Terry Winter;Summer Holiday ; Terry Winter
1972;Casa no Campo - Elis Regina;Casa no Campo ; Elis Regina
1972;Without You - Nilsson;Without You ; Nilsson
1972;Ben - Michael Jackson;Ben ; Michael Jackson
1972;Mangueira, Minha Madrinha Querida (Tengo Tengo) - Jair Rodrigues;Mangueira, Minha Madrinha Querida (Tengo Tengo) ; Jair Rodrigues
1972;Soley Soley - Middle Of The Road;Soley Soley ; Middle Of The Road
1972;Imagine - John Lennon;Imagine ; John Lennon
1972;Betcha By Golly, Wow - Stylistics;Betcha By Golly, Wow ; Stylistics
1972;Águas de Março - Elis Regina;Águas de Março ; Elis Regina
1972;Tell Me Once Again - Light Reflections;Tell Me Once Again ; Light Reflections
1972;A Horse With No Name - America;A Horse With No Name ; America
1972;Atrás da Porta - Elis Regina;Atrás da Porta ; Elis Regina
1972;Long Ago And Tomorrow - B.J. Thomas;Long Ago And Tomorrow ; B.J. Thomas
1972;Oração de Mãe Menininha - Maria Bethânia & Gal Costa;Oração de Mãe Menininha ; Maria Bethânia & Gal Costa
1972;Das 200 Pra Lá - Eliana Pittman;Das 200 Pra Lá ; Eliana Pittman
1972;Lets Stay Together - Al Green;Lets Stay Together ; Al Green
1972;Eu Quero é Botar Meu Bloco na Rua - Sergio Sampaio;Eu Quero é Botar Meu Bloco na Rua ; Sergio Sampaio
1972;Mammy Blue - Ricky Shayne;Mammy Blue ; Ricky Shayne
1972;Esperanças Perdidas - Os Originais do Samba;Esperanças Perdidas ; Os Originais do Samba
1972;Morning Has Broken - Cat Stevens;Morning Has Broken ; Cat Stevens
1972;Rocket Man - Elton John;Rocket Man ; Elton John
1972;Concerto Pour Un Été - Alain Patrick;Concerto Pour Un Été ; Alain Patrick
1972;Canário do Reino - Tim Maia;Canário do Reino ; Tim Maia
1972;Eu Não Sou Cachorro Não - Waldik Soriano;Eu Não Sou Cachorro Não ; Waldik Soriano
1972;I Can See Cleary Now - Johnny Nash;I Can See Cleary Now ; Johnny Nash
1972;Run To Me - Bee Gees;Run To Me ; Bee Gees
1972;Regra Três - Toquinho & Vinicius;Regra Três ; Toquinho & Vinicius
1972;Theres No More Corns On The Brasos - The Walkers;Theres No More Corns On The Brasos ; The Walkers
1972;Got To Be There - Michael Jackson;Got To Be There ; Michael Jackson
1972;Day After Day - Badfinger;Day After Day ; Badfinger
1972;I Am So Happy - Trio Galleta;I Am So Happy ; Trio Galleta
1972;Saturday In The Park - Chicago;Saturday In The Park ; Chicago
1972;Precious And Few - Climax;Precious And Few ; Climax
1972;A Montanha - Roberto Carlos;A Montanha ; Roberto Carlos
1972;Oração de Um Jovem Triste - Antonio Marcos;Oração de Um Jovem Triste ; Antonio Marcos
1972;Vou Tirar Você Deste Lugar - Odair José;Vou Tirar Você Deste Lugar ; Odair José
1972;Dose Pra Leão - Cesar Costa Filho;Dose Pra Leão ; Cesar Costa Filho
1972;Pérola Negra - Gal Costa;Pérola Negra ; Gal Costa
1972;Sacramento - Middle Of The Road;Sacramento ; Middle Of The Road
1972;Nada Será Como Antes - Elis Regina;Nada Será Como Antes ; Elis Regina
1972;Oh Girl - Chi-Lites;Oh Girl ; Chi-Lites
1972;Dont Wanna Say Goodbye - Raspberries;Dont Wanna Say Goodbye ; Raspberries
1972;Bala Com Bala - Elis Regina;Bala Com Bala ; Elis Regina
1972;Song Sung Blue - Neil Diamond;Song Sung Blue ; Neil Diamond
1972;Everything I Own - Bread;Everything I Own ; Bread
1972;So Far Away - Carole King;So Far Away ; Carole King
1972;Mon Amour, Meu Bem, Ma Femme - Reginaldo Rossi;Mon Amour, Meu Bem, Ma Femme ; Reginaldo Rossi
1972;A Taste Of Excitment - Carnaby St. Pop Orchestra And Choir;A Taste Of Excitment ; Carnaby St. Pop Orchestra And Choir
1972;Quando as Crianças Saírem de Férias - Roberto Carlos;Quando as Crianças Saírem de Férias ; Roberto Carlos
1972;Mercy Mercy Me (The Ecology) - Marvin Gaye;Mercy Mercy Me (The Ecology) ; Marvin Gaye
1972;Frightened Girl - Silent Majority;Frightened Girl ; Silent Majority
1972;Son Of My Father - Giorgio;Son Of My Father ; Giorgio
1972;I Wanna Be Where You Are - Jose Feliciano;I Wanna Be Where You Are ; Jose Feliciano
