ano;alltags;musica;artista
1960;Theme From "A Summer Place" - Percy Faith;;
1960;Banho de Lua - Celly Campello;Banho de Lua ; Celly Campello
1960;A Noite do Meu Bem - Dolores Duran;A Noite do Meu Bem ; Dolores Duran
1960;Esmeralda - Carlos José;Esmeralda ; Carlos José
1960;Mulher de Trinta - Miltinho;Mulher de Trinta ; Miltinho
1960;Menina Moça - Tito Madi;Menina Moça ; Tito Madi
1960;Marina - Cauby Peixoto;Marina ; Cauby Peixoto
1960;Put Your Head On My Shoulder - Paul Anka;Put Your Head On My Shoulder ; Paul Anka
1960;Alguém Me Disse - Anísio Silva;Alguém Me Disse ; Anísio Silva
1960;Everybodys Somebodys Fool - Connie Francis;Everybodys Somebodys Fool ; Connie Francis
1960;Meu Dilema - Nelson Gonçalves;Meu Dilema ; Nelson Gonçalves
1960;Se Acaso Você Chegasse - Elza Soares;Se Acaso Você Chegasse ; Elza Soares
1960;Me Dá Um Dinheiro Aí - Moacyr Franco;Me Dá Um Dinheiro Aí ; Moacyr Franco
1960;The Green Leaves Of Summer - The Brothers Four;The Green Leaves Of Summer ; The Brothers Four
1960;Estou Pensando em Ti - Anísio Silva;Estou Pensando em Ti ; Anísio Silva
1960;La Violetera - Sarita Montiel;La Violetera ; Sarita Montiel
1960;Negue - Carlos Augusto;Negue ; Carlos Augusto
1960;Serenata Suburbana - Dalva de Andrade;Serenata Suburbana ; Dalva de Andrade
1960;O Milagre da Volta - João Dias;O Milagre da Volta ; João Dias
1960;Puppy Love - Paul Anka;Puppy Love ; Paul Anka
1960;Não Tenho Lágrimas - Nat King Cole;Não Tenho Lágrimas ; Nat King Cole
1960;Longe de Ti - Wilson Miranda;Longe de Ti ; Wilson Miranda
1960;O Amor e a Rosa - Elizeth Cardoso;O Amor e a Rosa ; Elizeth Cardoso
1960;Por Quem Sonha Ana Maria - Juca Chaves;Por Quem Sonha Ana Maria ; Juca Chaves
1960;Cinzas do Passado - Cláudio de Barros;Cinzas do Passado ; Cláudio de Barros
1960;Pillow Talk - Doris Day;Pillow Talk ; Doris Day
1960;Leva Tudo Contigo - Jorge Goulart;Leva Tudo Contigo ; Jorge Goulart
1960;Ô Crides - Ronald Golias;Ô Crides ; Ronald Golias
1960;Ironia - Angela Maria;Ironia ; Angela Maria
1960;Fechei a Porta - Jamelão;Fechei a Porta ; Jamelão
1960;Creia - Osmar Navarro;Creia ; Osmar Navarro
1960;Tu és Meu Castigo - Agnaldo Rayol;Tu és Meu Castigo ; Agnaldo Rayol
1960;Oração de Amor - Luis Claudio;Oração de Amor ; Luis Claudio
1960;Im Sorry - Brenda Lee;Im Sorry ; Brenda Lee
1960;Where Or When - Dion & The Belmonts;Where Or When ; Dion & The Belmonts
1960;La Violetera - Angela Maria;La Violetera ; Angela Maria
1960;Chore Comigo - Nelson Gonçalves;Chore Comigo ; Nelson Gonçalves
1960;Um Amor Igual Ao Nosso - Nélson Novais;Um Amor Igual Ao Nosso ; Nélson Novais
1960;Greenfields - The Brothers Four;Greenfields ; The Brothers Four
1960;Não Tenho Namorado - Celly Campello;Não Tenho Namorado ; Celly Campello
1960;Ill Never Fall In Love Again - Johnnie Ray;Ill Never Fall In Love Again ; Johnnie Ray
1960;Presidente Bossa Nova - Juca Chaves;Presidente Bossa Nova ; Juca Chaves
1960;Zelão - Sergio Ricardo;Zelão ; Sergio Ricardo
1960;Marcianita - Sergio Murilo;Marcianita ; Sergio Murilo
1960;Mimi - Gilberto Alves;Mimi ; Gilberto Alves
1960;Mineiro Sabido - Luis Vanderley;Mineiro Sabido ; Luis Vanderley
1960;A Canção dos Seus Olhos - Marisa;A Canção dos Seus Olhos ; Marisa
1960;Ansiedade - Leila Silva;Ansiedade ; Leila Silva
1960;Adam and Eve - Paul Anka;Adam and Eve ; Paul Anka
