ano;alltags;musica;artista
1963;Mas Que Nada - Jorge Ben;Mas Que Nada ; Jorge Ben
1963;Sonhar Contigo - Adilson Ramos;Sonhar Contigo ; Adilson Ramos
1963;Volta Por Cima - Noite Ilustrada;Volta Por Cima ; Noite Ilustrada
1963;I Cant Stop Loving You - Ray Charles;I Cant Stop Loving You ; Ray Charles
1963;Chove Chuva - Jorge Ben;Chove Chuva ; Jorge Ben
1963;Tudo de Mim - Altemar Dutra;Tudo de Mim ; Altemar Dutra
1963;Hava Nagila - Chubby Checker;Hava Nagila ; Chubby Checker
1963;Balanço Zona Sul - Tito Madi;Balanço Zona Sul ; Tito Madi
1963;Enigma - Nelson Gonçalves;Enigma ; Nelson Gonçalves
1963;Filme Triste - Trio Esperança;Filme Triste ; Trio Esperança
1963;Splish Splash - Roberto Carlos;Splish Splash ; Roberto Carlos
1963;Amor Sincero - Silvinho;Amor Sincero ; Silvinho
1963;Tem Bobo Pra Tudo - Alcides Gerardi;Tem Bobo Pra Tudo ; Alcides Gerardi
1963;O Passo do Elefantinho - Trio Esperança;O Passo do Elefantinho ; Trio Esperança
1963;Blame It On The Bossa Nova - Eydie Gormé;Blame It On The Bossa Nova ; Eydie Gormé
1963;Afrikan Beat - Bert Kaempfert;Afrikan Beat ; Bert Kaempfert
1963;Uirapuru - Nilo Amaro & Os Cantores de Ébano;Uirapuru ; Nilo Amaro & Os Cantores de Ébano
1963;Boogie do Bebê - Tony Campello;Boogie do Bebê ; Tony Campello
1963;O Maior Amor - Silvinho;O Maior Amor ; Silvinho
1963;Na Cadência do Samba - Elizeth Cardoso;Na Cadência do Samba ; Elizeth Cardoso
1963;Roberta - Peppino Di Capri;Roberta ; Peppino Di Capri
1963;The End Of The World - Skeeter Davis;The End Of The World ; Skeeter Davis
1963;I Will Follow Him (Chariot) - Little Peggy March;I Will Follow Him (Chariot) ; Little Peggy March
1963;O Morro Não Tem Vez - Jair Rodrigues;O Morro Não Tem Vez ; Jair Rodrigues
1963;Paz do Meu Amor - Luiz Vieira;Paz do Meu Amor ; Luiz Vieira
1963;Sukiyaki - Kyu Sakamoto;Sukiyaki ; Kyu Sakamoto
1963;Garota de Ipanema - Pery Ribeiro;Garota de Ipanema ; Pery Ribeiro
1963;Bolinha de Sabão - Sônia Delfino;Bolinha de Sabão ; Sônia Delfino
1963;Chariot - Lana Bittencourt;Chariot ; Lana Bittencourt
1963;Baby Elephants Walk - Lawrence Welk;Baby Elephants Walk ; Lawrence Welk
1963;Rio - Os Cariocas;Rio ; Os Cariocas
1963;Ave Maria dos Namorados - Cauby Peixoto;Ave Maria dos Namorados ; Cauby Peixoto
1963;O Trovador de Toledo - Gilda Lopes;O Trovador de Toledo ; Gilda Lopes
1963;Se a Vida Fosse Um Sonho - Orlando Dias;Se a Vida Fosse Um Sonho ; Orlando Dias
1963;A Hora do Amor - Gilda Lopes;A Hora do Amor ; Gilda Lopes
1963;Go Away Little Girl - Steve Lawrence;Go Away Little Girl ; Steve Lawrence
1963;Amor Ingrato - Silvinho;Amor Ingrato ; Silvinho
1963;PapaOomMowMow - Rivingtons;PapaOomMowMow ; Rivingtons
1963;Não Diga Nada - Joelma;Não Diga Nada ; Joelma
1963;O Prisioneiro - Jorge Goulart;O Prisioneiro ; Jorge Goulart
1963;Serenata da Chuva - Carlos Nobre;Serenata da Chuva ; Carlos Nobre
1963;Baby Sittin Boogie - Buzz Clifford;Baby Sittin Boogie ; Buzz Clifford
1963;Deixa - Cyro Monteiro;Deixa ; Cyro Monteiro
1963;Baby Sittin Boogie - Ralf Bendix;Baby Sittin Boogie ; Ralf Bendix
1963;Wipe Out - The Surfaris;Wipe Out ; The Surfaris
1963;Samba do Avião - Os Cariocas;Samba do Avião ; Os Cariocas
1963;Eu Que Amo Somente a Ti - José Ricardo;Eu Que Amo Somente a Ti ; José Ricardo
1963;Caixinha de Segredo - Rômulo Alencar;Caixinha de Segredo ; Rômulo Alencar
1963;Franqueza - Dalva de Oliveira;Franqueza ; Dalva de Oliveira
1963;Love Me With All Your Heart - Ray Charles Singers;Love Me With All Your Heart ; Ray Charles Singers
1963;E O Bicho Não Deu - Emilinha Borba;E O Bicho Não Deu ; Emilinha Borba
1963;Nos Braços da Saudade - Carlos Nobre;Nos Braços da Saudade ; Carlos Nobre
1963;Doce Amargura - Moacyr Franco;Doce Amargura ; Moacyr Franco
1963;Papai Walt Disney - Conjunto Farroupilha;Papai Walt Disney ; Conjunto Farroupilha
1963;Blue Velvet - Bobby Vinton;Blue Velvet ; Bobby Vinton
1963;Ela é Carioca - Os Cariocas;Ela é Carioca ; Os Cariocas
1963;Pergunte ao Coração - Jorge Goulart;Pergunte ao Coração ; Jorge Goulart
1963;Hey Paula - Paul & Paula;Hey Paula ; Paul & Paula
1963;O Último a Saber - Dircinha Batista;O Último a Saber ; Dircinha Batista
1963;Sabor de Sal - Ed Wilson;Sabor de Sal ; Ed Wilson
1963;Days Of Wine And Roses - Henry Mancini;Days Of Wine And Roses ; Henry Mancini
1963;Resto de Saudade - Carlos Nobre;Resto de Saudade ; Carlos Nobre
