ano;alltags;musica;artista
1958;Little Darling - Lana Bittencourt;Little Darling ; Lana Bittencourt
1958;Cabecinha no Ombro - Alcides Gerardi;Cabecinha no Ombro ; Alcides Gerardi
1958;Sereno - Paulo Molin;Sereno ; Paulo Molin
1958;Ouça - Maysa;Ouça ; Maysa
1958;Nel Blu Dipinto Di Blu (Volare) - Domenico Modugno;Nel Blu Dipinto Di Blu (Volare) ; Domenico Modugno
1958;Fascinação - Gilberto Alves;Fascinação ; Gilberto Alves
1958;Abismo - Anísio Silva;Abismo ; Anísio Silva
1958;Escultura - Nelson Gonçalves;Escultura ; Nelson Gonçalves
1958;Love Me Forever - The Playings;Love Me Forever ; The Playings
1958;Patricia - Emilinha Borba;Patricia ; Emilinha Borba
1958;Fanzoca do Rádio - Carequinha;Fanzoca do Rádio ; Carequinha
1958;Cachito - Nat King Cole;Cachito ; Nat King Cole
1958;Alone - Lana Bittencourt;Alone ; Lana Bittencourt
1958;O Gondoleiro - Neuza Maria;O Gondoleiro ; Neuza Maria
1958;Covarde - Fernando Barreto;Covarde ; Fernando Barreto
1958;Diana - Paul Anka;Diana ; Paul Anka
1958;Se Todos Fossem Iguais a Você - Agostinho dos Santos;Se Todos Fossem Iguais a Você ; Agostinho dos Santos
1958;Castigo - Roberto Luna;Castigo ; Roberto Luna
1958;Moda da Pinga (Marvada Pinga) - Inezita Barroso;Moda da Pinga (Marvada Pinga) ; Inezita Barroso
1958;Babalu - Angela Maria;Babalu ; Angela Maria
1958;A Taça do Mundo é Nossa - Coral do Caneco;A Taça do Mundo é Nossa ; Coral do Caneco
1958;Balada Triste - Agostinho dos Santos;Balada Triste ; Agostinho dos Santos
1958;O Apito no Samba - Marlene;O Apito no Samba ; Marlene
1958;Linda - Cauby Peixoto;Linda ; Cauby Peixoto
1958;Around The World - Victor Young;Around The World ; Victor Young
1958;Diana - Carlos Gonzaga;Diana ; Carlos Gonzaga
1958;Eu Não Existo Sem Você - Maysa;Eu Não Existo Sem Você ; Maysa
1958;Its Not For Me To Say - Johnny Mathis;Its Not For Me To Say ; Johnny Mathis
1958;Patricia - Perez Prado;Patricia ; Perez Prado
1958;Interesseira - Anísio Silva;Interesseira ; Anísio Silva
1958;Marcelino Pão e Vinho - Wilma Bentivegna;Marcelino Pão e Vinho ; Wilma Bentivegna
1958;Little Darlin - The Diamonds;Little Darlin ; The Diamonds
1958;When - Kalin Twins;When ; Kalin Twins
1958;Chega de Saudade - João Gilberto;Chega de Saudade ; João Gilberto
1958;Viva o Meu Samba - Silvio Caldas;Viva o Meu Samba ; Silvio Caldas
1958;Marcha da Fofoca - César de Alencar;Marcha da Fofoca ; César de Alencar
1958;Amarras - Oscar Ferreira;Amarras ; Oscar Ferreira
1958;An Affair To Remember - Vic Damone;An Affair To Remember ; Vic Damone
1958;Creio em Ti - Francisco Egydio;Creio em Ti ; Francisco Egydio
1958;Apaixonada - Angela Maria;Apaixonada ; Angela Maria
1958;Tequila - The Champs;Tequila ; The Champs
1958;Nel Blu Dipinto Di Blu (Volare) - Leny Eversong;Nel Blu Dipinto Di Blu (Volare) ; Leny Eversong
1958;Matilda - Harry Belafonte;Matilda ; Harry Belafonte
1958;Arrependida - Morgana;Arrependida ; Morgana
1958;Till - Percy Faith;Till ; Percy Faith
1958;Balada dos Anjos - Gordon Jenkins;Balada dos Anjos ; Gordon Jenkins
1958;Abandono Cruel - Carlos Augusto;Abandono Cruel ; Carlos Augusto
1958;Pensando em Ti - Nelson Gonçalves;Pensando em Ti ; Nelson Gonçalves
1958;Eu Não Existo Sem Você - Carlos José;Eu Não Existo Sem Você ; Carlos José
1958;Long Tall Sally - Little Richard;Long Tall Sally ; Little Richard
1958;Calipso Italiano - Renato de Oliveira;Calipso Italiano ; Renato de Oliveira
1958;Whos Sorry Now - Connie Francis;Whos Sorry Now ; Connie Francis
1958;Balada Triste - Angela Maria;Balada Triste ; Angela Maria
1958;Cansei de Ilusões - Isaura Garcia;Cansei de Ilusões ; Isaura Garcia
1958;Bambina - Francisco Carlos;Bambina ; Francisco Carlos
1958;With All My Heart - Lana Bittencourt;With All My Heart ; Lana Bittencourt
1958;All The Way - Frank Sinatra;All The Way ; Frank Sinatra
1958;Chove Lá Fora - The Platters;Chove Lá Fora ; The Platters
1958;Conselho (Summertime) - Lana Bittencourt;Conselho (Summertime) ; Lana Bittencourt
1958;Bernardine - Pat Boone;Bernardine ; Pat Boone
1958;Desolação - Agostinho dos Santos;Desolação ; Agostinho dos Santos
1958;Castigo - Nora Ney;Castigo ; Nora Ney
1958;Estrada de Sol - Agostinho dos Santos;Estrada de Sol ; Agostinho dos Santos
1958;Cervezza - Silvio Mazzuca;Cervezza ; Silvio Mazzuca
1958;Bom Que Dói - Marlene;Bom Que Dói ; Marlene
1958;Banana Split - The Playings;Banana Split ; The Playings
