ano;alltags;musica;artista
1968;Hey Jude - Beatles;Hey Jude ; Beatles
1968;Viola Enluarada - Marcos Valle & Milton Nascimento;Viola Enluarada ; Marcos Valle & Milton Nascimento
1968;Baby - Gal Costa & Caetano Veloso;Baby ; Gal Costa & Caetano Veloso
1968;Sá Marina - Wilson Simonal;Sá Marina ; Wilson Simonal
1968;Love Is Blue - Paul Mauriat;Love Is Blue ; Paul Mauriat
1968;Light My Fire - Jose Feliciano;Light My Fire ; Jose Feliciano
1968;Se Você Pensa - Roberto Carlos;Se Você Pensa ; Roberto Carlos
1968;MacArthur Park - Richard Harris;MacArthur Park ; Richard Harris
1968;Pata Pata - Miriam Makeba;Pata Pata ; Miriam Makeba
1968;Tenho Um Amor Melhor Que o Seu - Antonio Marcos;Tenho Um Amor Melhor Que o Seu ; Antonio Marcos
1968;Última Canção - Paulo Sergio;Última Canção ; Paulo Sergio
1968;Sou Louca Por Você - Elizabeth;Sou Louca Por Você ; Elizabeth
1968;San Francisco (Be Sure To Wear Flowers In Your Hair) - Scott McKenzie;San Francisco (Be Sure To Wear Flowers In Your Hair) ; Scott McKenzie
1968;Mrs. Robinson - Simon & Garfunkel;Mrs. Robinson ; Simon & Garfunkel
1968;A Chuva Que Cai - Os Caçulas;A Chuva Que Cai ; Os Caçulas
1968;Pra Nunca Mais Chorar - Vanusa;Pra Nunca Mais Chorar ; Vanusa
1968;The Rain, The Park And Other Things - Cowsills;The Rain, The Park And Other Things ; Cowsills
1968;Do You Want To Dance - Johnny Rivers;Do You Want To Dance ; Johnny Rivers
1968;Só o Ôme - Noriel Vilela;Só o Ôme ; Noriel Vilela
1968;Segura Esse Samba Ogunhé - Osvaldo Nunes;Segura Esse Samba Ogunhé ; Osvaldo Nunes
1968;Dio Come Ti Amo - Gigliola Cinquetti;Dio Come Ti Amo ; Gigliola Cinquetti
1968;Pra Não Dizer Que Não Falei das Flores (Caminhando) - Geraldo Vandré;Pra Não Dizer Que Não Falei das Flores (Caminhando) ; Geraldo Vandré
1968;I Love You - People;I Love You ; People
1968;La Dernière Valse - Mirelle Mathieu;La Dernière Valse ; Mirelle Mathieu
1968;Minha Primeira Desilusão - Silvinha;Minha Primeira Desilusão ; Silvinha
1968;Summer Rain - Johnny Rivers;Summer Rain ; Johnny Rivers
1968;Hello Goodbye - Beatles;Hello Goodbye ; Beatles
1968;The Fool On The Hill - Sergio Mendes & Brasil 66;The Fool On The Hill ; Sergio Mendes & Brasil 66
1968;Divino Maravilhoso - Gal Costa;Divino Maravilhoso ; Gal Costa
1968;Playboy - Silvinha;Playboy ; Silvinha
1968;(Theme From) Valley Of The Dolls - Dionne Warwick;(Theme From) Valley Of The Dolls ; Dionne Warwick
1968;Honey - Bobby Goldsboro;Honey ; Bobby Goldsboro
1968;Little Green Apples - O.C. Smith;Little Green Apples ; O.C. Smith
1968;As Canções Que Você Fez Pra Mim - Roberto Carlos;As Canções Que Você Fez Pra Mim ; Roberto Carlos
1968;Hurdy Gurdy Man - Donovan;Hurdy Gurdy Man ; Donovan
1968;Mony Mony - Tommy James & The Shondells;Mony Mony ; Tommy James & The Shondells
1968;Angel Of The Morning - Merrilee Rush & The Turnabouts;Angel Of The Morning ; Merrilee Rush & The Turnabouts
1968;Andança - Beth Carvalho & Golden Boys;Andança ; Beth Carvalho & Golden Boys
1968;Judy In Disguise (With Glasses) - John Fred & His Playboy Band;Judy In Disguise (With Glasses) ; John Fred & His Playboy Band
1968;Free Again - Barbra Streisand;Free Again ; Barbra Streisand
1968;Aranjuez Mon Amour - Lafayette;Aranjuez Mon Amour ; Lafayette
1968;I Say A Little Prayer - Aretha Franklin;I Say A Little Prayer ; Aretha Franklin
1968;Ciúme de Você - Roberto Carlos;Ciúme de Você ; Roberto Carlos
1968;Stormy - Classics IV;Stormy ; Classics IV
1968;Never My Love - The Association;Never My Love ; The Association
