ano	alltags	musica	artista
1970	Foi Um Rio Que Passou Em Minha Vida - Paulinho da Viola	Foi Um Rio Que Passou Em Minha Vida 	 Paulinho da Viola
1970	Pra Frente Brasil - Coral Joab	Pra Frente Brasil 	 Coral Joab
1970	Jesus Cristo - Roberto Carlos	Jesus Cristo 	 Roberto Carlos
1970	Madalena - Elis Regina	Madalena 	 Elis Regina
1970	Yellow River - Christie	Yellow River 	 Christie
1970	Bridge Over Troubled Water - Simon & Garfunkel	Bridge Over Troubled Water 	 Simon & Garfunkel
1970	Azul da Cor do Mar - Tim Maia	Azul da Cor do Mar 	 Tim Maia
1970	Raindrops Keep Fallin' On My Head - B.J. Thomas	Raindrops Keep Fallin' On My Head 	 B.J. Thomas
1970	Let It Be - Beatles	Let It Be 	 Beatles
1970	BR3 - Tony Tornado & Trio Ternura	BR3 	 Tony Tornado & Trio Ternura
1970	ABC - Jackson 5	ABC 	 Jackson 5
1970	Reflections Of My Life - Marmalade	Reflections Of My Life 	 Marmalade
1970	Eu Te Amo Meu Brasil - Dom & Ravel	Eu Te Amo Meu Brasil 	 Dom & Ravel
1970	Primavera (Vai Chuva) - Tim Maia	Primavera (Vai Chuva) 	 Tim Maia
1970	Something - Beatles	Something 	 Beatles
1970	Marie Jolie - Aphrodite's Child	Marie Jolie 	 Aphrodite's Child
1970	Menina - Paulinho Nogueira	Menina 	 Paulinho Nogueira
1970	Universo no Teu Corpo - Taiguara	Universo no Teu Corpo 	 Taiguara
1970	Quero Voltar Pra Bahia - Paulo Diniz	Quero Voltar Pra Bahia 	 Paulo Diniz
1970	Bandeira Branca - Dalva de Oliveira	Bandeira Branca 	 Dalva de Oliveira
1970	Teletema - Evinha	Teletema 	 Evinha
1970	O Amor é o Meu País - Ivan Lins	O Amor é o Meu País 	 Ivan Lins
1970	London, London - Gal Costa	London, London 	 Gal Costa
1970	Venus - Shocking Blue	Venus 	 Shocking Blue
1970	Airport Love Theme - Vincent Bell	Airport Love Theme 	 Vincent Bell
1970	I'll Be There - Jackson 5	I'll Be There 	 Jackson 5
1970	In The Summertime - Mungo Jerry	In The Summertime 	 Mungo Jerry
1970	Coqueiro Verde - Erasmo Carlos	Coqueiro Verde 	 Erasmo Carlos
1970	(They Long To Be) Close To You - Carpenters	(They Long To Be) Close To You 	 Carpenters
1970	120... 150... 200 Km Por Hora - Roberto Carlos	120... 150... 200 Km Por Hora 	 Roberto Carlos
1970	Ti Voglio Tanto Bene - Rossano	Ti Voglio Tanto Bene 	 Rossano
1970	American Woman - The Guess Who	American Woman 	 The Guess Who
1970	Midnight Cowboy - Ferrante & Teicher	Midnight Cowboy 	 Ferrante & Teicher
1970	Gente Humilde - Angela Maria	Gente Humilde 	 Angela Maria
1970	The Long And Winding Road - Beatles	The Long And Winding Road 	 Beatles
1970	Make It With You - Bread	Make It With You 	 Bread
1970	Cracklin' Rosie - Neil Diamond	Cracklin' Rosie 	 Neil Diamond
1970	Get Ready - Rare Earth	Get Ready 	 Rare Earth
1970	Adeus Solidão - Carmen Silva	Adeus Solidão 	 Carmen Silva
1970	Everybody's Talkin' - Nilsson	Everybody's Talkin' 	 Nilsson
1970	Pra Você - Silvio Cesar	Pra Você 	 Silvio Cesar
1970	Para Lennon & McCartney - Milton Nascimento	Para Lennon & McCartney 	 Milton Nascimento
1970	Coroné Antonio Bento - Tim Maia	Coroné Antonio Bento 	 Tim Maia
1970	Spill The Wine - Eric Burdon & War	Spill The Wine 	 Eric Burdon & War
1970	Lay Down (Candles In The Rain) - Melanie & The Edwin Hawkins Singers	Lay Down (Candles In The Rain) 	 Melanie & The Edwin Hawkins Singers
1970	Meu LaiáRaiá - Martinho da Vila	Meu LaiáRaiá 	 Martinho da Vila
1970	GreenEyed Lady - Sugarloaf	GreenEyed Lady 	 Sugarloaf
1970	My Baby Loves Lovin' - White Plains	My Baby Loves Lovin' 	 White Plains
1970	Rainy Night In Georgia - Brook Benton	Rainy Night In Georgia 	 Brook Benton
1970	Padre Cícero - Tim Maia	Padre Cícero 	 Tim Maia
1970	Paixão de Um Homem - Waldik Soriano	Paixão de Um Homem 	 Waldik Soriano
1970	Teletema - Regininha	Teletema 	 Regininha
1970	Hotel das Estrelas - Gal Costa	Hotel das Estrelas 	 Gal Costa
1970	The Boxer - Simon & Garfunkel	The Boxer 	 Simon & Garfunkel
1970	Procurando Tu - Ivon Curi	Procurando Tu 	 Ivon Curi
1970	Irmãos Coragem - Jair Rodrigues	Irmãos Coragem 	 Jair Rodrigues
1970	Carta de Amor - Waldik Soriano	Carta de Amor 	 Waldik Soriano
1970	Eu Amo Você - Tim Maia	Eu Amo Você 	 Tim Maia
1970	Come Together - Beatles	Come Together 	 Beatles
1970	Yester me, Yester you, Yesterday - Stevie Wonder	Yester me, Yester you, Yesterday 	 Stevie Wonder
1970	Vou Deitar e Rolar - Elis Regina	Vou Deitar e Rolar 	 Elis Regina
1970	Je T'Aime (Moi Non Plus) - Jane Birkin & Serge Gainsburg	Je T'Aime (Moi Non Plus) 	 Jane Birkin & Serge Gainsburg
1970	Without Love - Tom Jones	Without Love 	 Tom Jones
1970	Esse Meu Coração Sem Juízo - Moacyr Franco	Esse Meu Coração Sem Juízo 	 Moacyr Franco
1970	Noi Ci Amiamo - Noi, Giovani	Noi Ci Amiamo 	 Noi, Giovani
1970	Hoje - Taiguara	Hoje 	 Taiguara
1970	Instant Karma - John Lennon	Instant Karma 	 John Lennon
1970	Mama Told Me (Not To Come) - Three Dog Night	Mama Told Me (Not To Come) 	 Three Dog Night
1970	Eu Te Amo Meu Brasil - Os Incríveis	Eu Te Amo Meu Brasil 	 Os Incríveis
1970	Que Bom Seria - Agnaldo Timóteo	Que Bom Seria 	 Agnaldo Timóteo
1970	Verão Vermelho - Elis Regina	Verão Vermelho 	 Elis Regina
1970	Ê Baiana - Clara Nunes	Ê Baiana 	 Clara Nunes
1970	Coqueiro Verde - Doris Monteiro	Coqueiro Verde 	 Doris Monteiro
1970	Procurando Tu - Jackson do Pandeiro	Procurando Tu 	 Jackson do Pandeiro
1970	Ando Meio Desligado - Os Mutantes	Ando Meio Desligado 	 Os Mutantes
1970	Tá Chegando Fevereiro - Os Originais do Samba	Tá Chegando Fevereiro 	 Os Originais do Samba
1970	Up Around The Bend - Creedence Clearwater Revival	Up Around The Bend 	 Creedence Clearwater Revival
1970	Wedding Bell Blues - The 5th Dimension	Wedding Bell Blues 	 The 5th Dimension
1970	Na Na Hey Hey Kiss Him Goodbye - Steam	Na Na Hey Hey Kiss Him Goodbye 	 Steam
1970	Travelin' Band - Creedence Clearwater Revival	Travelin' Band 	 Creedence Clearwater Revival
1970	Assim na Terra Como no Céu - Tim Maia	Assim na Terra Como no Céu 	 Tim Maia
1970	Suspicious Mind - Elvis Presley	Suspicious Mind 	 Elvis Presley
1970	Hey There Lonely Girl - Eddie Holman	Hey There Lonely Girl 	 Eddie Holman
1970	Alguém Me Disse - Joelma	Alguém Me Disse 	 Joelma
1970	Eu Também Quero Mocotó - Trio Mocotó	Eu Também Quero Mocotó 	 Trio Mocotó
1970	Take A Letter Maria - R.B. Greaves	Take A Letter Maria 	 R.B. Greaves
1970	Bamboleando - Francisco Egydio	Bamboleando 	 Francisco Egydio
1970	Down On The Corner - Creedence Clearwater Revival	Down On The Corner 	 Creedence Clearwater Revival
1970	And When I Die - Blood, Sweat & Tears	And When I Die 	 Blood, Sweat & Tears
1970	Canção do Marinheiro (Cisne Branco) - Dalva de Oliveira	Canção do Marinheiro (Cisne Branco) 	 Dalva de Oliveira
1970	Deixa Estar - MPB4	Deixa Estar 	 MPB4
1970	O Cabeção - Golden Boys	O Cabeção 	 Golden Boys
1970	I Can't Get Next To You - The Temptations	I Can't Get Next To You 	 The Temptations
1970	Patches - Clarence Carter	Patches 	 Clarence Carter
1970	Não Quero Nem Saber - Manhoso	Não Quero Nem Saber 	 Manhoso
1970	Rio de Lágrimas (Rio de Piracicaba) - Tião Carreiro & Pardinho	Rio de Lágrimas (Rio de Piracicaba) 	 Tião Carreiro & Pardinho
1970	Leaving On A Jet Plane - Peter, Paul & Mary	Leaving On A Jet Plane 	 Peter, Paul & Mary
1970	Little Woman - Bobby Sherman	Little Woman 	 Bobby Sherman
1970	Baby, I'm For Real - The Originals	Baby, I'm For Real 	 The Originals
1970	Which Way You Goin' Billy? - The Poppy Family	Which Way You Goin' Billy? 	 The Poppy Family
