ano	alltags	musica	artista	
1975	Moça - Wando	Moça 	 Wando	
1975	Além do Horizonte - Roberto Carlos	Além do Horizonte 	 Roberto Carlos	
1975	I'm Not In Love - 10cc	I'm Not In Love 	 10cc	
1975	Moro Onde Não Mora Ninguém - Agepê	Moro Onde Não Mora Ninguém 	 Agepê	
1975	Paralelas - Vanusa	Paralelas 	 Vanusa	
1975	O Mestre Sala dos Mares - Elis Regina	O Mestre Sala dos Mares 	 Elis Regina	
1975	Like A Locomotion - Left Side	Like A Locomotion 	 Left Side	
1975	Flying (Turn Round) - Chris DeBurgh	Flying (Turn Round) 	 Chris DeBurgh	
1975	One Day In Your Life - Michael Jackson	One Day In Your Life 	 Michael Jackson	
1975	Charlie Brown - Benito Di Paula	Charlie Brown 	 Benito Di Paula	
1975	Fé Cega, Faca Amolada - Milton Nascimento & Beto Guedes	Fé Cega, Faca Amolada 	 Milton Nascimento & Beto Guedes	
1975	Philadelphia Freedom - The Elton John Band	Philadelphia Freedom 	 The Elton John Band	
1975	Kung Fu Fighting - Carl Douglas	Kung Fu Fighting 	 Carl Douglas	
1975	Dois Pra Lá, Dois Pra Cá - Elis Regina	Dois Pra Lá, Dois Pra Cá 	 Elis Regina	
1975	Severina Xique Xique - Genival Lacerda	Severina Xique Xique 	 Genival Lacerda	
1975	The Old Fashioned Way - Charles Aznavour	The Old Fashioned Way 	 Charles Aznavour	
1975	Island Girl - Elton John	Island Girl 	 Elton John	
1975	O Mar Serenou - Clara Nunes	O Mar Serenou 	 Clara Nunes	
1975	Love Will Keep Us Together - The Captain & Tennille	Love Will Keep Us Together 	 The Captain & Tennille	
1975	Only Yesterday - Carpenters	Only Yesterday 	 Carpenters	
1975	Get Down Tonight - KC & The Sunshine Band	Get Down Tonight 	 KC & The Sunshine Band	
1975	Olha - Roberto Carlos	Olha 	 Roberto Carlos	
1975	You're The First, The Last, My Everything - Barry White	You're The First, The Last, My Everything 	 Barry White	
1975	1800 Colinas - Beth Carvalho	1800 Colinas 	 Beth Carvalho	
1975	Mandy - Barry Manilow	Mandy 	 Barry Manilow	
1975	Bilú Tetéia - Mauro Celso	Bilú Tetéia 	 Mauro Celso	
1975	July, July, July - Billy Paul	July, July, July 	 Billy Paul	
1975	Crítica - Cyro Aguiar	Crítica 	 Cyro Aguiar	
1975	Please Mr. Postman - Carpenters	Please Mr. Postman 	 Carpenters	
1975	Lovin' You - Minnie Riperton	Lovin' You 	 Minnie Riperton	
1975	Filho da Bahia - Fafá de Belém	Filho da Bahia 	 Fafá de Belém	
1975	Poxa - Gilson de Souza	Poxa 	 Gilson de Souza	
1975	Secretária da Beira do Cais - Cesar Sampaio	Secretária da Beira do Cais 	 Cesar Sampaio	
1975	A Lua e Eu - Cassiano	A Lua e Eu 	 Cassiano	
1975	You Are So Beautiful - Joe Cocker	You Are So Beautiful 	 Joe Cocker	
1975	I Don't Like To Sleep Alone - Paul Anka with Odia Coates	I Don't Like To Sleep Alone 	 Paul Anka with Odia Coates	
1975	Argumento - Paulinho da Viola	Argumento 	 Paulinho da Viola	
1975	Lady Marmalade - LaBelle	Lady Marmalade 	 LaBelle	
1975	Você Não Passa de Uma Mulher - Martinho da Vila	Você Não Passa de Uma Mulher 	 Martinho da Vila	
1975	Kid Cavaquinho - Maria Alcina	Kid Cavaquinho 	 Maria Alcina	
1975	O Ouro e a Madeira - Conjunto Nosso Samba	O Ouro e a Madeira 	 Conjunto Nosso Samba	
1975	My Eyes Adored You - Frankie Valli	My Eyes Adored You 	 Frankie Valli	
1975	Don't Let Me Cry - Mark Davis	Don't Let Me Cry 	 Mark Davis	
1975	Na Sombra de Uma Árvore - Hyldon	Na Sombra de Uma Árvore 	 Hyldon	
1975	Let Me Be Forever - Steve Feldman	Let Me Be Forever 	 Steve Feldman	
1975	The Hustle - Van McCoy	The Hustle 	 Van McCoy	
1975	I'll Be Holding You - Al Downing	I'll Be Holding You 	 Al Downing	
