ano	alltags	musica	artista
1961	Palhaçada - Doris Monteiro	Palhaçada 	 Doris Monteiro
1961	Blue Moon - The Marcels	Blue Moon 	 The Marcels
1961	Bat Masterson - Carlos Gonzaga	Bat Masterson 	 Carlos Gonzaga
1961	Faz Me Rir - Edith Veiga	Faz Me Rir 	 Edith Veiga
1961	Biquini de Bolinha Amarelinha - Ronnie Cord	Biquini de Bolinha Amarelinha 	 Ronnie Cord
1961	It's Now Or Never - Elvis Presley	It's Now Or Never 	 Elvis Presley
1961	Surrender - Elvis Presley	Surrender 	 Elvis Presley
1961	Negue - Nelson Gonçalves	Negue 	 Nelson Gonçalves
1961	Maringá - Carlos Galhardo	Maringá 	 Carlos Galhardo
1961	Ninguém é de Ninguém - Cauby Peixoto	Ninguém é de Ninguém 	 Cauby Peixoto
1961	Boato - Elza Soares	Boato 	 Elza Soares
1961	Solidão - Núbia Lafayette	Solidão 	 Núbia Lafayette
1961	Ansiedad - Nat King Cole	Ansiedad 	 Nat King Cole
1961	Devaneio - Djalma Ferreira	Devaneio 	 Djalma Ferreira
1961	The Twist - Chubby Checker	The Twist 	 Chubby Checker
1961	Mulata Assanhada - Miltinho	Mulata Assanhada 	 Miltinho
1961	Calcutta - Lawrence Welk	Calcutta 	 Lawrence Welk
1961	Look For A Star - Garry Miles	Look For A Star 	 Garry Miles
1961	Exodus - Ferrante & Teicher	Exodus 	 Ferrante & Teicher
1961	Apache - The Jet Blacks	Apache 	 The Jet Blacks
1961	La Barca - Trio Cristal	La Barca 	 Trio Cristal
1961	O Barquinho - João Gilberto	O Barquinho 	 João Gilberto
1961	Runaway - Del Shannon	Runaway 	 Del Shannon
1961	My Home Town - Paul Anka	My Home Town 	 Paul Anka
1961	Corina, Corina - Demetrius	Corina, Corina 	 Demetrius
1961	Coração de Luto - Teixeirinha	Coração de Luto 	 Teixeirinha
1961	Agora - Alcides Gerardi	Agora 	 Alcides Gerardi
1961	Perdão Para Dois - Cauby Peixoto	Perdão Para Dois 	 Cauby Peixoto
1961	Pelo Bem Que Te Quero - Orlando Dias	Pelo Bem Que Te Quero 	 Orlando Dias
1961	Poema do Adeus - Miltinho	Poema do Adeus 	 Miltinho
1961	Bata Baby - Wilson Miranda	Bata Baby 	 Wilson Miranda
1961	Wonderland By Night - Bert Kaempfert	Wonderland By Night 	 Bert Kaempfert
1961	Ternura Antiga - Tito Madi	Ternura Antiga 	 Tito Madi
1961	Só Vou de Mulher - Os Cariocas	Só Vou de Mulher 	 Os Cariocas
1961	Água de Beber - Isaura Garcia	Água de Beber 	 Isaura Garcia
1961	Pony Time - Chubby Checker	Pony Time 	 Chubby Checker
1961	Never On Sunday - Melina Mercouri	Never On Sunday 	 Melina Mercouri
1961	Michael - The Highwaymen	Michael 	 The Highwaymen
1961	G.I. Blues - Elvis Presley	G.I. Blues 	 Elvis Presley
1961	Aliança - Fernando Barreto	Aliança 	 Fernando Barreto
1961	Marcha do Pintinho - Emilinha Borba	Marcha do Pintinho 	 Emilinha Borba
1961	A Noiva - Angela Maria	A Noiva 	 Angela Maria
1961	Ninguém Chora Por Mim - Moacyr Franco	Ninguém Chora Por Mim 	 Moacyr Franco
1961	O Amor em Paz - João Gilberto	O Amor em Paz 	 João Gilberto
1961	Olga - Os Cometas	Olga 	 Os Cometas
1961	Wheels - String A Longs	Wheels 	 String A Longs
1961	Amor em Paz - João Gilberto	Amor em Paz 	 João Gilberto
1961	Amor Impossível - Carlos Nobre	Amor Impossível 	 Carlos Nobre
1961	Cadeira Vazia - Elza Soares	Cadeira Vazia 	 Elza Soares
1961	Dinah - Clério Morais	Dinah 	 Clério Morais
1961	Abismo de Rosas - Dilermando Reis	Abismo de Rosas 	 Dilermando Reis
1961	Ironia - Carlos Nobre	Ironia 	 Carlos Nobre
1961	Apache - The Shadows	Apache 	 The Shadows
1961	Ciúme em Tudo - Orlando Dias	Ciúme em Tudo 	 Orlando Dias
1961	Justiça de Deus - Leila Silva	Justiça de Deus 	 Leila Silva
1961	Lágrimas de Palhaço - Osny Silva	Lágrimas de Palhaço 	 Osny Silva
