 Wando
 Dom & Ravel
 Aphrodites Child
 Paulinho Nogueira
 Dalva de Oliveira
 Evinha
 Shocking Blue
 Vincent Bell
 Mungo Jerry
 Rossano
 The Guess Who
 Ferrante & Teicher
 Rare Earth
 Silvio Cesar
 Eric Burdon & War
 Melanie & The Edwin Hawkins Singers
 Sugarloaf
 White Plains
 Brook Benton
 Regininha
 Jane Birkin & Serge Gainsburg
 Noi, Giovani
 Jackson do Pandeiro
 Os Mutantes
 Steam
 Elvis Presley
 Eddie Holman
 Trio Mocotó
 R.B. Greaves
 Francisco Egydio
 Blood, Sweat & Tears
 MPB4
 Clarence Carter
 Tião Carreiro & Pardinho
 Peter, Paul & Mary
 Bobby Sherman
 The Originals
 The Poppy Family
As Curvas da Estrada de Santos 
Aquele Abraço 
Hoje 
Aquarius/Let The Sunshine In 
País Tropical 
Get Back 
Mustang Cor de Sangue 
Sugar, Sugar 
I Started A Joke 
F... Comme Femme 
Que Pena 
Charles, Anjo 45 
Sentado à Beira do Caminho 
Crimson And Clover 
Sua Estupidez 
Traces 
Tudo Passará 
Proud Mary 
Casa de Bamba 
Eu Disse Adeus 
Youve Made Me So Very Happy 
Green River 
Não Identificado 
Casaco Marrom 
Smile A Little Smile For Me 
My Cherie Amour 
Those Were The Days 
Atrás do Trio Elétrico 
To Sir With Love 
Zingara 
Socorro, Nosso Amor Está Morrendo 
Que Maravilha 
The Ballad Of John And Yoko 
Honky Tonk Women 
Love Is All 
Stella 
My Way 
Adeus Ingrata 
Tomorrow Tomorrow 
Get Together 
Good Morning Starshine 
O Pequeno Burguês 
As Flores do Jardim da Nossa Casa 
For Once In My Life 
Cantiga Por Luciana 
Love Theme From Romeo & Juliet 
Je TAime (Moi Non Plus) 
Little Green Apples 
O Conde 
Mudando de Conversa 
ObLaDi ObLaDa 
Casatchok 
I Say A Little Prayer 
Easy To Be Hard 
DoReMi 
Pra Que Dinheiro 
Hold Me Tight 
2001
I Heard It Through The Grapevine 
Irene 
Cadê Teresa 
Sinal Fechado 
Atlantis 
Trains And Boats And Planes 
Meia Volta (Ana Cristina) 
Girl Watcher 
In The Year 2525 
Sentinela 
Levanta a Cabeça 
Onde Estão Aqueles Dias 
Elenore 
Leva Meu Samba 
Hey Jude 
Madalena 
Over You 
Zazueira 
My Special Angel 
These Eyes 
O Que Será Que As Outras Tem Que a Linda Não Tem? 
Domingas 
Magic Carpet Ride 
A Festa dos Seus Quinze Anos 
1, 2, 3, Red Light 
Dizzy 
Hair 
Soulful Strut 
Se O Telefone Tocar 
Build Me Up Buttercup 
Time Of The Season 
Turn Around, Look At Me 
Chiclete Com Banana 
Minha Menina 
Midnight Confessions 
Eu Vou Sair Para Buscar Você 
Touch Me 
What Does It Take 
Casinha Pequenina 
Crystal Blue Persuasion 
Chewy Chewy 
 Marcos Valle & Milton Nascimento
 Gal Costa & Caetano Veloso
 Wilson Simonal
 Paul Mauriat
 Richard Harris
 Miriam Makeba
 Paulo Sergio
 Elizabeth
 Scott McKenzie
 Os Caçulas
 Cowsills
