ano	alltags	musica	artista
1965	Deixa Isso Pra Lá - Jair Rodrigues	Deixa Isso Pra Lá 	 Jair Rodrigues
1965	Primavera - Pery Ribeiro	Primavera 	 Pery Ribeiro
1965	Pedro Pedreiro - Chico Buarque	Pedro Pedreiro 	 Chico Buarque
1965	Opinião - Nara Leão	Opinião 	 Nara Leão
1965	Quero Que Vá Tudo Pro Inferno - Roberto Carlos	Quero Que Vá Tudo Pro Inferno 	 Roberto Carlos
1965	Se Piangi, Se Ridi - Bobby Solo	Se Piangi, Se Ridi 	 Bobby Solo
1965	Mulata Assanhada - Elza Soares	Mulata Assanhada 	 Elza Soares
1965	You Turn Me On - Ian Whicomb	You Turn Me On 	 Ian Whicomb
1965	Primavera - Claudette Soares	Primavera 	 Claudette Soares
1965	Que Será de Ti - Moacyr Franco	Que Será de Ti 	 Moacyr Franco
1965	Ma Vie - Lana Bittencourt	Ma Vie 	 Lana Bittencourt
1965	Io Che Non Vivo Senza Te - Pino Donaggio	Io Che Non Vivo Senza Te 	 Pino Donaggio
1965	Ébrio de Amor - Lindomar Castilho	Ébrio de Amor 	 Lindomar Castilho
1965	Tchin Tchin - Tony Campello	Tchin Tchin 	 Tony Campello
1965	Sinfonia da Mata - Orlando Dias	Sinfonia da Mata 	 Orlando Dias
1965	The Wanderer - Dion	The Wanderer 	 Dion
1965	Samba de Verão - Marcos Valle	Samba de Verão 	 Marcos Valle
1965	Abraçame Forte - Wanderley Cardoso	Abraçame Forte 	 Wanderley Cardoso
