ano	alltags	musica	artista
1965	Trem das Onze - Demônios da Garoa	Trem das Onze 	 Demônios da Garoa
1965	O Calhambeque - Roberto Carlos	O Calhambeque 	 Roberto Carlos
1965	Amore Scusami - John Foster	Amore Scusami 	 John Foster
1965	Sentimental Demais - Altemar Dutra	Sentimental Demais 	 Altemar Dutra
1965	Ma Vie - Alain Barrière	Ma Vie 	 Alain Barrière
1965	A Hard Day's Night - Beatles	A Hard Day's Night 	 Beatles
1965	O Trovador - Altemar Dutra	O Trovador 	 Altemar Dutra
1965	O Neguinho e a Senhorita - Noite Ilustrada	O Neguinho e a Senhorita 	 Noite Ilustrada
1965	Shame And Scandal In The Family - Shaw Elliott	Shame And Scandal In The Family 	 Shaw Elliott
1965	Arrastão - Elis Regina	Arrastão 	 Elis Regina
1965	The House Of The Rising Sun - The Animals	The House Of The Rising Sun 	 The Animals
1965	Sabor A Mi - Eydie Gormé & Trio Los Panchos	Sabor A Mi 	 Eydie Gormé & Trio Los Panchos
1965	Festa do Bolinha - Trio Esperança	Festa do Bolinha 	 Trio Esperança
1965	Nunca Mais Brigarei Contigo - Roberto Muller	Nunca Mais Brigarei Contigo 	 Roberto Muller
1965	Não Quero Ver Você Triste - Roberto Carlos	Não Quero Ver Você Triste 	 Roberto Carlos
1965	I Feel Fine - Beatles	I Feel Fine 	 Beatles
1965	Querida - Jerry Adriani	Querida 	 Jerry Adriani
1965	Mamãe Eu Te Darei Algo - Manuela	Mamãe Eu Te Darei Algo 	 Manuela
1965	Carcará - Maria Bethânia	Carcará 	 Maria Bethânia
1965	Professor Apaixonado - Nilton Cesar	Professor Apaixonado 	 Nilton Cesar
1965	From Russia With Love - Matt Monro	From Russia With Love 	 Matt Monro
1965	Eight Days A Week - Beatles	Eight Days A Week 	 Beatles
1965	Se Mi Vuoi Lasciare - Michele	Se Mi Vuoi Lasciare 	 Michele
1965	Preste Atenção - Wanderley Cardoso	Preste Atenção 	 Wanderley Cardoso
1965	Perfidia - Trini Lopez	Perfidia 	 Trini Lopez
1965	Pau de Arara - Ary Toledo	Pau de Arara 	 Ary Toledo
1965	Downtown - Petula Clark	Downtown 	 Petula Clark
1965	Menina Linda - Renato & Seus Blue Caps	Menina Linda 	 Renato & Seus Blue Caps
1965	Red Roses For A Blue Lady - Bert Kaempfert	Red Roses For A Blue Lady 	 Bert Kaempfert
1965	Na Onda do Berimbau - Ed Lincoln	Na Onda do Berimbau 	 Ed Lincoln
1965	Prelude and The Sound Of Music - Julie Andrews	Prelude and The Sound Of Music 	 Julie Andrews
1965	In Ginocchio Da Te - Gianni Morandi	In Ginocchio Da Te 	 Gianni Morandi
1965	Feche os Olhos - Renato & Seus Blue Caps	Feche os Olhos 	 Renato & Seus Blue Caps
1965	Falhaste Coração - Angela Maria	Falhaste Coração 	 Angela Maria
1965	Michael - Trini Lopez	Michael 	 Trini Lopez
1965	A Casa do Sol Nascente - Agnaldo Timóteo	A Casa do Sol Nascente 	 Agnaldo Timóteo
1965	A Garota do Baile - Roberto Carlos	A Garota do Baile 	 Roberto Carlos
1965	Joga a Chave - Jorge Goulart	Joga a Chave 	 Jorge Goulart
1965	Iracema - Demônios da Garoa	Iracema 	 Demônios da Garoa
1965	Mr. Tambourine Man - The Byrds	Mr. Tambourine Man 	 The Byrds
1965	O Escândalo - Renato & Seus Blue Caps	O Escândalo 	 Renato & Seus Blue Caps
1965	Pensando Nela - Golden Boys	Pensando Nela 	 Golden Boys
1965	Il Mondo - Jimmy Fontana	Il Mondo 	 Jimmy Fontana
1965	Charade - Henry Mancini	Charade 	 Henry Mancini
1965	Não Me Esquecerás - Carlos Alberto	Não Me Esquecerás 	 Carlos Alberto
1965	My Boy Lollipop - Millie Small	My Boy Lollipop 	 Millie Small
1965	Help! - The Beatles	Help! 	 The Beatles
1965	Tchin Tchin - Richard Anthony	Tchin Tchin 	 Richard Anthony
1965	Izabelle - Charles Aznavour	Izabelle 	 Charles Aznavour
1965	A Casa de Irene - Nico Fidenco	A Casa de Irene 	 Nico Fidenco
1965	Festa de Arromba - Erasmo Carlos	Festa de Arromba 	 Erasmo Carlos
1965	Menino das Laranjas - Elis Regina	Menino das Laranjas 	 Elis Regina
1965	Amor Perdido - Carlos Alberto	Amor Perdido 	 Carlos Alberto
1965	Meu Bem Lollipop - Wanderléa	Meu Bem Lollipop 	 Wanderléa
1965	Acender as Velas - Nara leão	Acender as Velas 	 Nara leão
1965	Lobo Mau - Roberto Carlos	Lobo Mau 	 Roberto Carlos
1965	Mulata YêYêYê - Emilinha Borba	Mulata YêYêYê 	 Emilinha Borba
1965	Gatinha Manhosa - Erasmo Carlos	Gatinha Manhosa 	 Erasmo Carlos
1965	Não é Papo Pra Mim - Roberto Carlos	Não é Papo Pra Mim 	 Roberto Carlos
1965	Parei, Olhei - Roberto Carlos	Parei, Olhei 	 Roberto Carlos
1965	O Carro do Papai - Ed Wilson	O Carro do Papai 	 Ed Wilson
1965	Minha Namorada - Os Cariocas	Minha Namorada 	 Os Cariocas
1965	Das Rosas - Dalva de Oliveira	Das Rosas 	 Dalva de Oliveira
1965	O Que é Que Eu Faço do Latim - Meire Pavão	O Que é Que Eu Faço do Latim 	 Meire Pavão
1965	Afinal Chegou - Os Vips	Afinal Chegou 	 Os Vips
1965	Se o Seu Amor Fosse Pra Mim - Trio Melodia	Se o Seu Amor Fosse Pra Mim 	 Trio Melodia
1965	Primavera - Alaíde Costa	Primavera 	 Alaíde Costa
1965	Mascarada - Zé Keti	Mascarada 	 Zé Keti
1965	Minha Fama de Mau - Erasmo Carlos	Minha Fama de Mau 	 Erasmo Carlos
1965	Copacabana é Amor - Fernando Pereira	Copacabana é Amor 	 Fernando Pereira
1965	História de Um Homem Mau - Roberto Carlos	História de Um Homem Mau 	 Roberto Carlos
1965	This Diamond Ring - Gary Lewis & The Playboys	This Diamond Ring 	 Gary Lewis & The Playboys
1965	O Princípio e o Fim - Agnaldo Rayol	O Princípio e o Fim 	 Agnaldo Rayol
1965	People - Barbara Streisand	People 	 Barbara Streisand
1965	A Praia - Agnaldo Rayol	A Praia 	 Agnaldo Rayol
1965	Preste Atenção - Giane	Preste Atenção 	 Giane
1965	Minhas Madrugadas - Elizeth Cardoso	Minhas Madrugadas 	 Elizeth Cardoso
1965	Que C'est Triste Venice - Charles Aznavour	Que C'est Triste Venice 	 Charles Aznavour
1965	Alguém na Multidão - Golden Boys	Alguém na Multidão 	 Golden Boys
1965	Gerônimo - Os Incríveis	Gerônimo 	 Os Incríveis
1965	Rock do Mendigo - Moacyr Franco	Rock do Mendigo 	 Moacyr Franco
1965	Zorba, The Greek - Dalida	Zorba, The Greek 	 Dalida
