ano;alltags;musica;artista
1959;Its Only Make Believe - Conway Twitty;Its Only Make Believe ; Conway Twitty
1959;Chantily Lace - Big Bopper;Chantily Lace ; Big Bopper
1959;Minha Oração (My Prayer) - Jairo Aguiar;Minha Oração (My Prayer) ; Jairo Aguiar
1959;O Vendedor de Caranguejo - Gordurinha;O Vendedor de Caranguejo ; Gordurinha
1959;Topsy II - Cozy Cole;Topsy II ; Cozy Cole
1959;Quem é? - Hebe Camargo;Quem é? ; Hebe Camargo
1959;Pink Shoe Laces - Dodie Stevens;Pink Shoe Laces ; Dodie Stevens
1959;Estrada do Sol - Silvia Telles;Estrada do Sol ; Silvia Telles
1959;Tears On My Pillow - Little Anthony & The Imperials;Tears On My Pillow ; Little Anthony & The Imperials
1959;Rosalinda - Orlando Silva;Rosalinda ; Orlando Silva
1959;Isso é Lá Com Santo Antonio - Marlene;Isso é Lá Com Santo Antonio ; Marlene
1959;Regresso - Carlos Nobre;Regresso ; Carlos Nobre
1959;China Rock - The Avalons;China Rock ; The Avalons
1959;Por Um Beijo de Amor - Francisco Egydio;Por Um Beijo de Amor ; Francisco Egydio
1959;Ô Diacho - Dupla Ouro e Prata;Ô Diacho ; Dupla Ouro e Prata
1959;Chega de Saudade - Severino Araújo & Orquestra Tabajara;Chega de Saudade ; Severino Araújo & Orquestra Tabajara
1959;Erros de Gramática - Marlene;Erros de Gramática ; Marlene
1959;Fim de Caso - Dolores Duran;Fim de Caso ; Dolores Duran
