ano;musica;artista
1992;The One;Elton John
1992;End Of The Road;Boyz II Men
1992;O Canto da Cidade;Daniela Mercury
1992;Save The Best For Last;Vanessa Williams
1992;Dont Let The Sun Go Down On Me;George Michael & Elton John
1992;Cigana;Raça Negra
1992;Just Another Day;Jon Secada
1992;Cabecinha no Ombro;Fagner & Roberta Miranda
1992;Im Too Sexy;R*S*F
1992;Olha Amor;Gian & Giovani
1992;Caruso;Lucio Dalla
1992;Brincar de Ser Feliz;Chitãozinho & Xororó
1992;Temporal do Amor;Leandro & Leonardo
1992;Tears In Heaven;Eric Clapton
1992;If You Asked Me To;Celine Dion
1992;Black Or White;Michael Jackson
1992;Barracos (Escombros);Banda Beijo
1992;All Together Now;The Farm
1992;I Will Always Love You;Whitney Houston
1992;Finally;Ce Ce Peniston
1992;Com o Pé na Estrada (The Boxer);Sula Miranda
1992;November Rain;Guns N Roses
1992;Wishing On A Star;Cover Girls
1992;To Be With You;Mr. Big
1992;Ill Be There;Mariah Carey
1992;Coração Está em Pedaços;Zezé Di Camargo & Luciano
1992;Borbulhas de Amor;Fagner
1992;Ainda Lembro;Marisa Monte & Ed Motta
1992;Smells Like Teen Spirit;Nirvana
1992;Grávida;Marina
1992;Sábado;Os Paralamas do Sucesso
1992;For Your Babies;Simply Red
1992;Daniel;Wilson Phillips
1992;Senza Una Donna;Zucchero & Paul Young
1992;Pergunte Pro Seu Coração;Roberto Carlos
1992;Vento Ventania;Biquini Cavadão
1992;Rio 40 Graus;Fernanda Abreu
1992;Jump Around;House Of Pain
1992;Vê Se Me Erra;Zeca Pagodinho
1992;Apenas Mais Uma de Amor;Lulu Santos
1992;Não Olhe Assim;Leandro & Leonardo
1992;Under The Bridge;Red Hot Chili Peppers
1992;Eu Não Sei Dançar;Marina
1992;La Barca;Luis Miguel
1992;Jump;Kris Kross
1992;Cheia de Manias;Raça Negra
1992;Hold On My Heart;Genesis
1992;Remember The Time;Michael Jackson
1992;Innocence;Deborah Blando
1992;Breakaway;Donna Summer
1992;Dont Talk, Just Kiss;R*S*F
1992;Not Enough Time;INXS
1992;Sometimes Love Just Aint Enough;Patty Smyth with Don Henley
1992;Faz de Mim;Dominguinhos
1992;Será?;Simone
1992;Do It To Me;Lionel Richie
1992;My Lovin (Youre Never Gonna Get It);Em Vogue
1992;Tá Faltando Amor;João Paulo & Daniel
1992;Please Dont Go;Double You
1992;Gosto de Hortelã;João Paulo & Daniel
1992;Set Adrift On Memory Bliss;PM Dawn
1992;Ser Mais Feliz;Roupa Nova
1992;Eu Te Amo;Zezé Di Camargo & Luciano
1992;A Serpente e a Estrela;Zé Ramalho
1992;Slipping Away;Information Society
1992;Bohemian Rhapsody;Queen
1992;Spending My Time;Roxette
1992;Vendaval;Joanna
1992;O Mundo Anda Tão Complicado;Legião Urbana
1992;Am I The Same Girl;Swing Out Sister
1992;When A Man Loves A Woman;Michael Bolton
1992;Missing You Now;Michael Bolton
1992;Alguém no Céu;Trem da Alegria
1992;Bate Coração;José Augusto
1992;Vida Dividida;Chrystian & Ralf
1992;Coisas da Paixão;Emílio Santiago
1992;Mr. Loverman;Shabba Ranks
1992;Theme From Dying Young;Kenny G
1992;Deságua;Selma Reis
1992;Would I Lie To You;Charles & Eddie
1992;Dona de Mim;14-Bis
1992;Rhythm Is A Dancer;Snap!
1992;Friday Im In Love;The Cure
1992;Give It Away;Red Hot Chili Peppers
1992;Não Aprendi a Dizer Adeus;Leandro & Leonardo
1992;Senhas;Adriana Calcanhotto
1992;Set The Night To Music;Roberta Flack & Maxi Priest
1992;The Unforgiven;Metallica
1992;Você Virou Mania;João Paulo & Daniel
1992;Change;Lisa Stansfield
1992;Caminando Por La Calle;Gypsy Kings
1992;You Wont See Me Crying;Wilson Phillips
1992;Milonga;Julio Iglesias
1992;Eu Quero Te Amar;Gian & Giovani
1992;A Rollerskating Jam Named Saturday;DeLa Soul
1992;Get Ready For This;2 Unlimited
1992;Sou Eu;Chrystian & Ralf
1992;Não Dá Pra Te Esquecer;Gian & Giovani
1992;Rio e Canoa;Fábio Jr
1992;Esse Mundo;Vange Leonel
