ano;musica;artista
1993;I Will Always Love You;Whitney Houston
1993;Que Se Chama Amor;Só Pra Contrariar
1993;Dreamlover;Mariah Carey
1993;Tô Legal;Grupo Raça
1993;Whats Up;4 Non Blondes
1993;Lôraburra;Gabriel O Pensador
1993;All That She Wants;Ace Of Base
1993;Rhythm Is A Dancer;Snap!
1993;Palavras (Words);Chitãozinho & Xororó with The Bee Gees
1993;O Mais Belo dos Belos (A Verdade do Ilê);Daniela Mercury
1993;Faz Mais Uma Vez Comigo;Zezé Di Camargo & Luciano
1993;Ordinary World;Duran Duran
1993;Olhos Vermelhos;Negritude Jr.
1993;Easy;Faith No More
1993;Fera Ferida;Maria Bethânia
1993;Informer;Snow
1993;Mexe Mexe;Leandro & Leonardo
1993;A Whole New World (Aladdins Theme);Peabo Bryson & Regina Belle
1993;Whoomp! (There It Is);Tag Team
1993;Angel;Jon Secada
1993;Ai Que Saudade de Ocê;Fábio Jr.
1993;Show Me Love;Robin S
1993;Another Sad Love Song;Toni Braxton
1993;A Barata;Só Pra Contrariar
1993;Cose Della Vita;Eros Ramazzotti
1993;More And More;Captain Hollywood Project
1993;Amor Impossível;Raça Negra
1993;Mentiras;Adriana Calcanhoto
1993;O Cheiro Dela;João Paulo & Daniel
1993;Domingo;Só Pra Contrariar
1993;Cant Help Falling In Love;UB40
1993;Pensando em Minha Amada;Chitãozinho & Xororó
1993;Caidinho;Fundo de Quintal
1993;Rosa;Marisa Monte
1993;No Ordinary Love;Sade
1993;Carência;Raça Negra
1993;Thats The Way Love Goes;Janet Jackson
1993;Have I Told You Lately;Rod Stewart
1993;I Have Nothing;Whitney Houston
1993;Tô Feliz (Matei o Presidente);Gabriel O Pensador
1993;What Is Love;Haddaway
1993;Em 92;Kid Abelha
1993;Please Forgive Me;Bryan Adams
1993;Sweat (A La La La La Song);Inner Circle
1993;Champagne;Roberta Miranda
1993;Deixa Viver;Leci Brandão
1993;Meu Cabelo Duro é Assim;Chiclete com Banana
1993;Bed Of Roses;Bon Jovi
1993;Deus Apareça na Televisão;Kid Abelha
1993;Parabólica;Engenheiros do Hawaii
1993;Dark Is The Night;A-ha
1993;Da Água Pro Vinho;Cezar & Paulinho
1993;Eu Tive Um Sonho;Kid Abelha
1993;Cryin;Aerosmith
1993;Hey Mr. D.J.;Zhané
1993;Perfeição;Legião Urbana
1993;Freak Me;Silk
1993;A Maçã;Deborah Blando
1993;Dito e Feito;Roberto Carlos
1993;Futuros Amantes;Chico Buarque
1993;De Volta ao Começo;Roupa Nova
1993;Do You Believe In Us;Jon Secada
1993;Tanto;Skank
1993;Linha do Equador;Djavan
1993;Lately;Jodeci
1993;Im Gonna Be (500 Miles);Proclaimers
1993;See The Light;Snap!
1993;Simple Life;Elton John
1993;Forever In Love;Kenny G
1993;Vieste;Ivan Lins
1993;Sangue Latino;Nenhum de Nós
1993;Felicità;Lucio Dalla
1993;Advice For The Young At Heart;Tears For Fears
1993;Eu Quero Meu Amor;Elba Ramalho
1993;Regret;New Order
1993;A Vida é Festa;Banda Beijo
1993;Lição de Astronomia;Herbert Vianna
1993;Faz de Conta;Gian & Giovani
1993;Agora ou Jamais;Tigres de Bengala
1993;Ah, Se Eu Fosse Homem;Ultaje a Rigor
1993;Caminhos Cruzados;Gal Costa
1993;Bad Bad Boys;Midi, Maxi & Efti
1993;Sai Dessa Coração;Gian & Giovani
1993;Go West;Pet Shop Boys
1993;Homem Que Sabia Demais;Skank
1993;Sangue Latino;Renata Arruda
1993;Gênese;Paulo Ricardo & RPM
1993;Parabolicamará;Gilberto Gil
1993;Será Que Sou Eu;Paulinho Moska
1993;Ai Ai Ai Ai Ai;Ivan Lins
1993;Submundo Vaticano;Lulu Santos
1993;Toque de Emoção;Joanna
1993;Só Pra Te Mostrar;Daniela Mercury & Herbert Vianna
1993;Memória da Pele;João Bosco
1993;Boom Shack-a-Lak;Apache Indian
1993;Lamento;Zizi Possi
1993;Noites com Sol;Flávio Venturini
1993;Goodbye;Air Supply
1993;Essa Tal Felicidade;Tim Maia
1993;O Preço de Uma Vida;Selma Reis
