ano;musica;artista
1984;Sonífera Ilha;Titãs
1984;Como Eu Quero;Kid Abelha & Os Abóboras Selvagens
1984;I Just Called To Say I Love You;Stevie Wonder
1984;Óculos;Os Paralamas do Sucesso
1984;Vai Passar;Chico Buarque
1984;Esquinas;Djavan
1984;Deixa Eu Te Amar;Agepê
1984;You And I;Kenny Rogers
1984;Fullgás;Marina
1984;Inútil;Ultraje A Rigor
1984;Lilás;Djavan
1984;Knife;Rockwell
1984;Brega-Chique (E o Vento Levou Black);Eduardo Dusek
1984;Caminhoneiro;Roberto Carlos
1984;Ebony Eyes;Rick James & Smokey Robinson
1984;Só Você;Vinicius Cantuária
1984;Bete Balanço;Barão Vermelho
1984;Thriller;Michael Jackson
1984;All Night Long (All Night);Lionel Richie
1984;Recado (Meu Namorado);Joanna
1984;Fogueira;Angela Rô Rô
1984;Meu Erro;Os Paralamas do Sucesso
1984;Eu Sou Free;Sempre Livre
1984;Me Chama;Lobão & Os Ronaldos
1984;Owner Of A Lonely Heart;Yes
1984;Xixi nas Estrelas;Guilherme Arantes
1984;Joanna;Kool & The Gang
1984;Eva;Rádio Taxi
1984;Hello;Lionel Richie
1984;Lindo Lago do Amor;Gonzaguinha
1984;Somebodys Watching You;Rockwell
1984;Against All Odds (Take A Look At Me Now);Phil Collins
1984;Linda Juventude;14-Bis
1984;Karma Chameleon;Culture Club
1984;Over You;Lane Brody
1984;I Guess Thats Why They Call It The Blues;Elton John
1984;Sonho de Ícaro;Biafra
1984;Nada Mais (Lately);Gal Costa
1984;Fixação;Kid Abelha & Os Abóboras Selvagens
1984;Private Dancer;Tina Turner
1984;Jump;Van Halen
1984;Nada Tanto Assim;Kid Abelha & Os Abóboras Selvagens
1984;Drive;The Cars
1984;When Doves Cry;Prince
1984;Say Say Say;Paul McCartney & Michael Jackson
1984;Just My Imagination;Lillo Thomas
1984;A Song For You;John Miles
1984;Careless Whisper;George Michael
1984;Certas Coisas;Lulu Santos
1984;Is This The End?;New Edition
1984;Heart And Soul;Huey Lewis & The News
1984;I Can Dream About You;Dan Hartman
1984;Whats Love Got To Do With It;Tina Turner
1984;A Mulher Invisível;Ritchie
1984;Esa Mujer;Julio Iglesias
1984;If Ever Youre In My Arms Again;Peabo Bryson
1984;Time After Time;Cindy Lauper
1984;Baile dos Passarinhos;Gugu
1984;Tic-Tic Nervoso;Magazine
1984;Champagne;Manolo Otero
1984;Talking In Your Sleep;Romantics
1984;Eyes Without A Face;Billy Idol
1984;Maior Abandonado;Barão Vermelho
1984;I Am What I Am;Gloria Gaynor
1984;Porque Não Eu?;Kid Abelha
1984;Dancing In The Dark;Bruce Springsteen
1984;I Feel For You;Chaka Khan
1984;Comer, Comer;Brazilian Genghis Khan
1984;Make Believe Its Your First Time;Carpenters
1984;Vamos a La Playa;Righeira
1984;Reggae Nights;Jimmy Cliff
1984;São Paulo, São Paulo;Premeditando o Breque
1984;Stuck On You;Lionel Richie
1984;Quando Te Vi;Beto Guedes
1984;Beat Acelerado;Metrô
1984;Transas e Caretas;Trio Los Angeles
1984;Lua My Love;Eduardo Dusek
1984;Hey DJ;The Worlds Famous Supreme Team
1984;Você em Minha Vida;Fafá de Belém
1984;Toque de Malícia;Beth Carvalho
1984;Youre The Inspiration;Chicago
1984;Betty Frígida;Blitz
1984;Lets Get Together;Tina Turner
1984;Ao Que Vai Chegar;Toquinho
1984;Boys Do Fall In Love;Robin Gibb
1984;Papel Maché;João Bosco
1984;Tudo Azul;Lulu Santos
1984;Do What You Do;Jermaine Jackson
1984;Vereda Tropical;Ney Matogrosso
1984;Eva;Umberto Tozzi
1984;My Girl;Lillo Thomas
1984;Almost Paradise;Ann Wilson & Mike Reno
1984;Festa dos Insetos;Gilliard
1984;Miss Me Blind;Culture Club
1984;Veneno (Veleno);Marina
1984;Férias de Verão;Sandra Sá
1984;Enredo do Meu Samba;Sandra Sá
1984;Where Is My Man;Eartha Kitt
1984;Um Desejo Só Não Basta;Simone
1984;SKA;Os Paralamas do Sucesso
