ano;musica;artista
1994;Breathe Again;Toni Braxton
1994;Ill Make Love To You;Boyz II Men
1994;The Sign;Ace Of Base
1994;Linger;Cranberries
1994;Eu Só Penso em Você;Zezé Di Camargo & Luciano with Willie Nelson
1994;Hero;Mariah Carey
1994;Cartão Postal;Olodum
1994;Essa Tal Liberdade;Só Pra Contrariar
1994;I Swear;All-4-One
1994;Without You;Mariah Carey
1994;Onde Você Mora;Cidade Negra
1994;Música de Rua;Daniela Mercury
1994;Solidão Que Nada;Kid Abelha
1994;All I Wanna Do;Cheryl Crow
1994;Eu e Ela;Grupo Raça
1994;All For Love;Bryan Adams, Rod Stewart & Sting
1994;Bump N Grind;R. Kelly
1994;Menina;Netinho
1994;Requebra;Olodum
1994;Conto de Fadas;Negritude Jr.
1994;Meu Jeito de Ser;Só Pra Contrariar
1994;The Power Of Love;Celine Dion
1994;Esqueça (Forget Him);Fábio Jr.
1994;Now And Forever;Richard Marx
1994;Beijo Geladinho;Negritude Jr.
1994;Can You Feel The Love Tonight;Elton John
1994;Said I Love You... But I Lied;Michael Bolton
1994;Você Vai Ver;Zezé Di Camargo & Luciano
1994;Mr. Vain;Culture Beat
1994;I Miss You;Haddaway
1994;Cantaloop;US3
1994;Quando Te Encontrei;Raça Negra
1994;Stay (I Missed You);Lisa Loeb & Nine Stories
1994;Again;Janet Jackson
1994;Shoop;Salt-n-Pepa
1994;All By Myself;Sheryl Crown
1994;Ill Stand By You;Pretenders
1994;Pra Abalar;Banda Eva
1994;Partners;Cássia Eller
1994;Pensamento;Cidade Negra
1994;Pessoa;Marina Lima
1994;Return To Innocence;Enigma
1994;Dont Turn Around;Ace Of Base
1994;So Much In Love;All-4-One
1994;Because The Night;10,000 Maniacs
1994;Whatta Man;Salt-n-Pepa with En Vogue
1994;Por Amor ao Ilê;Daniela Mercury
1994;Palco;Simone Moreno
1994;Endless Love;Luther Vandross & Mariah Carey
1994;Beijo Partido;Milton Nascimento
1994;Só Dá Você em Minha Vida;João Paulo & Daniel
1994;Pro Dia Nascer Feliz;Raça Negra
1994;The Most Beautiful Girl In The World;Prince
1994;Tanta Solidão;Roberto Carlos
1994;Garotos II (O Outro Lado);Leoni
1994;Esmola;Skank
1994;Tente Outra Vez;Zeze Di Camargo & Luciano
1994;For Whom The Bells Tolls;Bee Gees
1994;Caminhos de Sol;Yahoo
1994;Febre;Lulu Santos
1994;Muito Romântico;Maurício Mattar
1994;Crazy;Julio Iglesias
1994;Sim ou Não;Djavan
1994;Circle Of Life;Elton John
1994;Stroke You Up;Changing Faces
1994;Mr. Jones;Counting Crows
1994;Whats My Name?;Snoop Doggy Dogg
1994;Dor de Amor Não Tem Jeito;Leandro & Leonardo
1994;Fantastic Voyage;Coolio
1994;Menino do Pelô;Daniela Mercury
1994;Loser;Beck
1994;Another Sad Love Song;Toni Braxton
1994;Step It Up;Stereos MCs
1994;Dança da Solidão;Marisa Monte & Gilberto Gil
1994;É Proibido Fumar;Skank
1994;Ill Remember;Madonna
1994;Dia de Visita;João Paulo & Daniel
1994;O Chamado;Marina Lima
1994;Please Forgive Me;Bryan Adams
1994;A Praieira;Chico Science & Nação Zumbi
1994;Groove Thang;Zhané
1994;Under The Same Sun;Scorpions
1994;Anything;SWV
1994;Indignação;Skank
1994;Mmm Mmm Mmm Mmm;Crash Test Dummies
1994;Streets Of Philadelphia;Bruce Sprinsteen
1994;(Meet) The Flintstones;The B.C. 52s
1994;Meu Amor Não Vá Embora;Beto Barbosa
1994;Falsas Razões;Jorge Aragão
1994;Cuida de Mim;João Paulo & Daniel
1994;Se Eu Me Apaixonar;Rosana & Edmon
1994;Dreams;Gabrielle
1994;Always;Erasure
1994;Ill Take You There;General Public
1994;Love Is All Around;Wet Wet Wet
1994;Quando Chove;Patrícia Marx
1994;A Novidade;Gilberto Gil
1994;My Love;Little Texas
1994;Puteiro em João Pessoa;Raimundos
1994;A Viagem;Roupa Nova
