ano;musica;artista
1998;Immortality;Celine Dion & Bee Gees (Sony)
1998;Cada Volta é Um Recomeço;Zezé Di Camargo & Luciano (Sony)
1998;Liberar Geral;Terra Samba (RGE)
1998;Torn;Natalie Imbruglia (BMG)
1998;Adia;Sarah McLachlan (BMG)
1998;Truly Madly Deeply;Savage Garden (Sony)
1998;Youre Still The One;Shanie Twain (Universal)
1998;Cachimbo da Paz;Gabriel O Pensador (Sony)
1998;Mineirinho;Só Pra Contrariar (BMG)
1998;My Heart Will Go On;Celine Dion (Sony)
1998;Too Much;Spice Girls (Virgin)
1998;Quando é Amor;Só Pra Contrariar (BMG)
1998;É Preciso Saber Viver;Titãs (Warner)
1998;Mal-Acostumada;Ara Ketu (Sony)
1998;Inaraí;Katinguelê (Continental)
1998;Inesquecível;Sandy & Junior (Universal)
1998;Something About The Way You Look Tonight;Elton John (Universal)
1998;Cartão Postal;Exaltasamba (EMI)
1998;Quit Playing Games (With My Heart);Backstreet Boys (Virgin)
1998;Vem Meu Amor;Banda Eva (Universal)
1998;Deu Medo;Leandro & Leonardo (BMG)
1998;Quero Te Encontrar;Claudinho & Buchecha (Universal)
1998;Ela é Demais;Rick & Renner (Continental)
1998;Amarelinha;Art Popular (EMI)
1998;As Long As You Love Me;Backstreet Boys (Virgin)
1998;Dois;Paulo Ricardo (Universal)
1998;Arerê;Banda Eva (Universal)
1998;Pra Não Pensar Em Você;Zezé Di Camargo & Luciano (Sony)
1998;S.N.S. (Só no Sapatinho);Só no Sapatinho (Warner)
1998;My All;Mariah Carey (Sony)
1998;Mundo de Oz;Soweto (EMI)
1998;Heloísa, Mexe a Cadeira;Vinny (Indie)
1998;How Could An Angel Break My Heart;Toni Braxton (BMG)
1998;Resposta;Skank (Sony)
1998;Te Amo Cada Vez Mais;João Paulo & Daniel (Continental)
1998;Show Me Love;Robyn (BMG)
1998;Presente de Um Beija-Flor;Nativus (EMI)
1998;Never Ever;All Saints (Universal)
1998;Preciso Dar Um Tempo;Raça Negra (RGE)
1998;A Nova Loira do Tchan;É O Tchan (Universal)
1998;I Will Come To You;Hanson (Universal)
1998;Pertinho;Katinguelê (Continental)
1998;High;Lighthouse Family (Universal)
1998;Janaína;Biquini Cavadão (BMG)
1998;Sábado à Noite;Cidade Negra (Sony)
1998;I Dont Want To Miss A Thing;Aerosmith (Sony)
1998;Fácil;Jota Quest (Sony)
1998;Era Uma Vez;Toquinho/Sandy & Junior (Universal)
1998;Maçã do Amor;Soweto (EMI)
1998;Vitrine;Latino (Sony)
1998;Faixa Amarela;Zeca Pagodinho (Universal)
1998;Aviãozinho;Cheiro de Amor (Universal)
1998;Agenda Rabiscada;Cleiton & Camargo (EMI)
1998;Quando Um Grande Amor Se Faz;Cleiton & Camargo (EMI)
1998;Proibido Pra Mim;Charlie Brown Jr. (Virgin)
1998;Desliga e Vem;Exaltasamba (EMI)
1998;Say You Love Me;Simply Red (Warner)
1998;Derê;Soweto (EMI)
1998;Dança da Manivela;Asa de Águia (Sony)
1998;Tá na Cara;Ara Ketu (Sony)
1998;More Than This;10,000 Maniacs (Universal)
1998;Fricote;Art Popular (EMI)
1998;Jeito Sexy;Fat Family (EMI)
1998;Be Alone No More;Another Level (BMG)
1998;Somente o Sol;Deborah Blando (Virgin)
1998;Antes Que Seja Tarde;Pato Fu (BMG)
1998;Realidade Virtual;Cidade Negra (Sony)
1998;Tô Dentro, Tô Fora;Os Morenos (Universal)
1998;Dança da Sensual;Cheiro de Amor (Universal)
1998;Puro Êxtase;Barão Vermelho (Warner)
1998;The Boy Is Mine;Brandy & Monica (Warner)
1998;Palpite;Vanessa Rangel (Virgin)
1998;Swing de Rua;Patrulha do Samba (Paradoxx)
1998;Viva Forever;Spice Girls (Virgin)
1998;É O Tchan no Havaí;É O Tchan (Universal)
1998;Um Sonhador;Leandro & Leonardo (BMG)
1998;Vai Sacudir, Vai Abalar;Cheiro de Amor (Universal)
1998;Con Te Partirò;Andrea Bocelli (Universal)
1998;Vivo Por Ella;Andréa Bocelli & Sandy (Universal)
1998;Pra Te Ter Aqui;Netinho (Universal)
1998;Eu Busco Uma Estrela;Gian & Giovani (BMG)
1998;Brincadeira de Criança;Molejo (BMG)
1998;Frozen;Madonna (Warner)
1998;Feliz Aniversário;Ronaldo & Os Barcelos (RDS)
1998;Gimme Love;Alexia (Sony)
1998;Peraê;Banda Beijo (Universal)
1998;Lugar Nenhum;Netinho (Universal)
1998;Cumade e Cumpade;Leandro & Leonardo (BMG)
1998;Corazón Partio;Alejandro Sanz (Warner)
1998;Declaração de Amor;Daniel (Continental)
1998;Everybody (Backstreets Back);Backstreet Boys (Virgin)
1998;Carrinho de Mão;Terra Samba (RGE)
1998;O Grande Amor de Minha Vida;Gian & Giovani (BMG)
1998;Pé de Bode;Cezar & Paulinho (Continental)
1998;(Dança do Xenhenhém) Forró do Xenhenhém;Zé Paulo (Atração)
1998;How Bizarre;OMC (Universal)
1998;Angel;Robbie Williams (EMI)
1998;All My Life;K-Ci & JoJo (Universal)
1998;O Beijo;Negritude Jr. (EMI)
1998;Amor e Amizade;Exaltasamba (EMI)
