ano;musica;artista
1991;(Everything I Do) I Do It For You;Bryan Adams
1991;More Than Words;Extreme
1991;É o Amor;Zezé Di Camargo & Luciano
1991;Noite Preta;Vange Leonel
1991;Rush Rush;Paula Abdul
1991;Gonna Make You Sweat (Everybody Dance Now);C&C Music Factory
1991;Emotions;Mariah Carey
1991;Swing da Cor;Daniela Mercury
1991;Beija Eu;Marisa Monte
1991;Ive Been Thinking About You;Londonbeat
1991;Get Here;Oleta Adams
1991;W/Brasil (Chama o Síndico);Jorge Benjor
1991;Sadeness Part 1;Enigma
1991;Suga Suga;João Penca & Seus Miquinhos Amestrados
1991;Where Does My Heart Beat Now;Celine Dion
1991;Grand Hotel;Kid Abelha
1991;The First Time;Surface
1991;It Aint Over Til Its Over;Lenny Kravitz
1991;Paz na Cama;Leandro & Leonardo
1991;I Dont Wanna Cry;Mariah Carey
1991;All The Man That I Need;Whitney Houston
1991;Cry For Help;Rick Astley
1991;Wind Of Change;Scorpions
1991;Whats A Woman;Vaya Con Dios
1991;I Wanna Sex You Up;Color Me Badd
1991;Wicked Game;Chris Isaak
1991;O Teatro dos Vampiros;Legião Urbana
1991;Melô do Ricardão;M.C. Mr. Mu & Tião Macalé
1991;Unforgettable;Natalie Cole & Nat King Cole
1991;Losing My Religion;R.E.M.
1991;Codinome Beija-Flor;Luiz Melodia
1991;Baby Baby;Amy Grant
1991;Someday;Mariah Carey
1991;Cartas;Roupa Nova
1991;Good Vibrations;Marky Mark & The Funky Bunch
1991;Não Vou Ficar;Kid Abelha
1991;Olhos de Jade;Beto Guedes
1991;A História do Sunda;M.C. Mr. Mu
1991;Coming Out Of The Dark;Gloria Estefan
1991;Felicidade Urgente;Elba Ramalho & Cládio Zoli
1991;Unchained Melody;Righteous Brothers
1991;Justify My Love;Madonna
1991;Maria Chiquinha;Sandy & Junior
1991;Acontecimentos;Marina
1991;Set The Night To Music;Roberta Flack & Maxi Priest
1991;Crazy;Seal
1991;By My Side;INXS
1991;I Adore Mi Amor;Color Me Badd
1991;Dont Cry;Guns N Roses
1991;Joyride;Roxette
1991;Shiny Happy People;REM
1991;Show Me The Way;Styx
1991;Toms Diner;DNA featuring Suzanne Vega
1991;Something Got Me Started;Simply Red
1991;Without You;Air Supply
1991;Being Boring;Pet Shop Boys
1991;3 AM Eternal;KLF
1991;Cowboy do Asfalto;Chitãozinho & Xororó
1991;Have You Seen Her;MC Hammer
1991;Heal The Pain;George Michael
1991;Im Not In Love;Will To Power
1991;Mal de Mim;Djavan
1991;Sombra em Nosso Olhar;Selma Reis
1991;Super-Herói;Roberto Carlos
1991;Fading Like A Flower;Roxette
1991;Começo, Meio e Fim;Roupa Nova
1991;Unbelievable;EMF
1991;Youre In Love;Wilson Phillips
1991;You Gotta Love Someone;Elton John
1991;Não Aprendi a Dizer Adeus;Leandro & Leonardo
1991;Seja Mais Você;Grupo Raça
1991;Tendo a Lua;Os Paralamas do Sucesso
1991;Brincar de Ser Feliz;Chitãozinho & Xororó
1991;Everybody Plays The Fool;Aaron Neville
1991;Unconditional Love;Suzanna Hoffs
1991;Gypsy Woman;Crystal Waters
1991;Set Adrift On Memory Bliss;PM Dawn
1991;Boy (Why You Wanna Make Me Blue);Deborah Blando
1991;Você Ainda Vai Voltar;Leandro & Leonardo
1991;Eu Sei (Na Mira);Marisa Monte
1991;Only Time Will Tell;Nelson
1991;Love Is A Wonderful Thing;Michael Bolton
1991;I Remember You;Skid Row
1991;Touch Me (All Night Long);Cathy Dennis
1991;Pense em Mim;Leandro & Leonardo
1991;Right Here, Right Now;Jesus Jones
1991;Here We Go;C+C Music Factory
1991;Coração Vagabundo;Leila Pinheiro
1991;Miles Away;Winger
1991;Desejo de Amar;João Paulo & Daniel
1991;A Better Life;Londonbeat
1991;Faz de Conta;Edson Cordeiro
1991;Cinema;Ice MC
1991;Samba no Chão;Zeca Pagodinho
1991;Everybody Everybody;Black Box
1991;You Are Everything;Rod Stewart
1991;Pensando em Minha Amada;Chitãozinho & Xororó
1991;Cream;Prince & The N.P.G.
1991;When A Man Loves A Woman;Michael Bolton
1991;Strike It Up;Black Box
