ano;musica;artista
2000;Amor I Love You;Marisa Monte (EMI)
2000;Se Eu Não Te Amasse Tanto Assim;Ivete Sangalo (Universal)
2000;Smooth;Santana feat. Rob Thomas (BMG)
2000;Xibom Bombom;As Meninas (Universal)
2000;Tô Te Filmando (Sorria);Os Travessos (Continental)
2000;What A Girl Wants;Christina Aguilera (BMG)
2000;Anna Julia;Los Hermanos (Abril)
2000;Music;Madonna (Warner)
2000;El Arbi;Khaled (Universal)
2000;Minha Razão de Viver;Ara Ketu (Sony)
2000;Maria Maria;Santana feat. The Product G&B (BMG)
2000;Vai Dar Samba;Daniel (Continental)
2000;I Knew I Loved You;Savage Garden (Sony)
2000;Demorô (remix);Hannah Lima (Abril)
2000;Shape Of My Heart;Backstreet Boys (Virgin)
2000;Separação;Casa Nossa (RDS)
2000;A Dor Desse Amor;KLB (Sony)
2000;Papo de Jacaré;P.O. Box (Abril)
2000;Face Oculta;Ara Ketu (Sony)
2000;Show Me The Meaning Of Broken Heart;Backstreet Boys (Virgin)
2000;Pensando em Você;Maurício Manieri (Abril)
2000;Bye Bye Bye;N Sync (Virgin)
2000;Você Virou Saudade;Só Pra Contrariar (BMG)
2000;I Turn To You;Christina Aguilera (BMG)
2000;Esperando na Janela;Cogumelo Plutão (Universal)
2000;Devolva-me;Adriana Calcanhotto (BMG)
2000;Rock DJ;Robbie Williams (Virgin)
2000;Nada Me Faz Esquecer;Pepê & Neném (Virgin)
2000;Colombina;Ed Motta (Universal)
2000;Holler;Spice Girls (Virgin)
2000;Keep On Movin;Five (BMG)
2000;Morango do Nordeste;Karametade (Sony)
2000;Me Lambe;Raimundos (Warner)
2000;Não Tem Porquê... (Good Bye);É D+ (Atração)
2000;Come On Over Baby (All I Want Is You);Christina Aguilera (BMG)
2000;Deixaria Tudo;Leonardo (BMG)
2000;Perdi Você;Twister (Abril)
2000;Te Quero Tanto;Maurício Manieri (Abril)
2000;Três Lados;Skank (Sony)
2000;Antes de Voltar Pra Casa;Zezé Di Camargo & Luciano (Sony)
2000;Heartbreaker;Mariah Carey feat. Jay-Z (Sony)
2000;I Will Fly With You;Gigi DAgostino (Building)
2000;História de Amor;Juventude S/A (Atração)
2000;Oops!... I Did It Again;Britney Spears (Virgin)
2000;Balada do Amor Inabalável;Skank (Sony)
2000;If I Let You Go;Westlife (BMG)
2000;Ela Não Está Aqui;KLB (Sony)
2000;Fissuras de Um Casal;Bala, Bombom & Chocolate (Abril)
2000;Simarik;Tarkan (Universal)
2000;Será Que Foi Saudade?;Zezé Di Camargo & Luciano (Sony)
2000;Vem Neném;Harmonia do Samba (Abril)
2000;Popozuda Rock n Roll;De Falla (Sony)
2000;A Cera (... Me Pirou o Cabeção);O Surto (Virgin)
2000;Banho de Chuveiro;Terra Samba (Universal)
2000;Como Vai Você;Daniela Mercury (BMG)
2000;Meu Querubim;Os Travessos (Continental)
2000;Never Be The Same Again;Melanie C (Virgin)
2000;Coração Vazio;Chitãozinho & Xororó/Reba McEntire (Universal)
2000;Chega de Sofrer;Pique Novo (Paradoxx)
2000;Tele-Fome;Jota Quest (Sony)
2000;Minha Alma (A Paz Que Eu Não Quero);O Rappa (Warner)
2000;Aluga-se;Titãs (Warner)
2000;O Mapa da Mina;Rumbora (Trama)
2000;Vê Se Volta Comigo;Cleiton & Camargo (EMI)
2000;Dizem Que A Felicidade;Art Popular (EMI)
2000;Santa Helena;Daniela Mercury (BMG)
2000;40 Graus;Twister (Abril)
2000;Depois;Pato Fu (BMG)
2000;Você Chegou;LS Jack (Indie)
2000;Hoje a Noite Não Tem Luar;Legião Urbana (EMI)
2000;Lady (Hear Me Tonight);Modjo (Universal)
2000;Primavera;Los Hermanos (Abril)
2000;Ojos Asi;Shakira (Sony)
2000;Tudo Que Vai;Capital Inicial (Abril)
2000;If Only;Hanson (Universal)
2000;(Mucho Mambo) Sway;Shaft (Universal)
2000;Youre My 1;Enrique Iglesias/Sandy & Junior (Universal)
2000;Back At One;Brian McKnight & Ivete Sangalo (Universal)
2000;Estare Prendido En Tus Dedos;Skank (Sony)
2000;Tchan na Selva;É o Tchan (Universal)
2000;Primavera (Vai Chuva);Maurício Manieri (Abril)
2000;Sexbomb;Tom Jones with Mousse T. (Roadrunner)
2000;Beautiful Day;U2 (Universal)
2000;O Amor em Pedaços;Rita Lee (Universal)
2000;Da Boca Pra Fora (ao vivo);Zezé Di Camargo & Luciano (Sony)
2000;Shackless (Praise You);Mary Mary (Sony)
2000;Desafio;Belo (EMI)
2000;Vai Pirar;Jigaboo & Charlie Brown Jr. (Virgin)
2000;Its Gonna Be Me;N Sync (Virgin)
2000;Thats The Way It Is;Celine Dion (Sony)
2000;Breathless;The Corrs (Universal)
2000;Tua Boca;Belo (EMI)
2000;Cordeirinho;Os Morenos (Universal)
2000;Amor Selvagem;Zezé Di Camargo & Luciano (Sony)
2000;Against All Odds (Take A Look At Me Now);Mariah Carey (Sony)
2000;Tic-Bom;Bom Balanço (Universal)
2000;Lembrança;Só no Sapatinho (Warner)
2000;Learn To Fly;Foo Fighters (BMG)
2000;Painted On My Heart;The Cult (Universal)
2000;This I Promise You;N Sync (Virgin)
