ano;musica;artista
1989;Bem Que Se Quis;Marisa Monte
1989;Deus Te Proteja de Mim;Wando
1989;Entre Tapas e Beijos;Leandro & Leonardo
1989;Dont Wanna Lose You;Gloria Estefan
1989;Straight Up;Paula Abdul
1989;Adelaide;Inimigos do Rei
1989;Nuvem de Lágrimas;Fafá de Belém & Chitãozinho & Xororó
1989;When I See You Smile;Bad English
1989;Adocica;Beto Barbosa
1989;Eternal Flame;Bangles
1989;Tudo o Que Se Quer;Emílio Santiago & Verônica Sabino
1989;The Living Years;Mike + The Mechanics
1989;Baby I Love Your Way/Freebird (Medley);Will To Power
1989;Direto no Olhar;Rosana
1989;Tiêta;Luiz Caldas
1989;Lost In Your Eyes;Debbie Gibson
1989;No Rancho Fundo;Chitãozinho & Xororó
1989;Anjo (Angel);Yahoo
1989;Onde o Amor Me Leva;Rosana
1989;Two Hearts;Phil Collins
1989;Pais e Filhos;Legião Urbana
1989;Blame It On The Rain;Milli Vanilli
1989;Giving You The Best That I Got;Anita Baker
1989;Forever Your Girl;Paula Abdul
1989;Ill Be There For You;Bon Jovi
1989;Tempero;Grupo Raça
1989;Fica Comigo;Placa Luminosa
1989;Paixão de Beata (Neném Mulher);Pinto do Acordeon
1989;She Drives Me Crazy;Fine Young Cannibals
1989;Bye Bye Tristeza;Sandra Sá
1989;If You Dont Know Me By Now;Simply Red
1989;Nascemos Pra Cantar;Chitãozinho & Xororó
1989;When Im With You;Sheriff
1989;Oceano;Djavan
1989;The Look;Roxette
1989;Love Shack;The B-52s
1989;Meia-Lua Inteira;Caetano Veloso
1989;Like A Prayer;Madonna
1989;Uma Barata Chamada Kafka;Inimigos do Rei
1989;Look Away;Chicago
1989;Paixão Antiga;Tim Maia
1989;Coração do Agreste;Fafá de Belém
1989;Patience;Guns N Roses
1989;Hold Me In Your Arms;Rick Astley
1989;Baby Dont Forget My Number;Milli Vanilli
1989;À Francesa;Marina
1989;Right Here Waiting;Richard Marx
1989;Minta Meu Sonho;Zeca Pagodinho
1989;Vem Me Dar Um Beijo;Banda Beijo
1989;Wild Thing;Tone Loc
1989;Dancei;Martinho da Vila
1989;Back To Life (However Do You Want Me);Soul II Soul
1989;Angelia;Richard Marx
1989;Miudinho, Meu Bem, Miudinho;Fundo de Quintal
1989;Chama;Roupa Nova
1989;Girl You Know Its True;Milli Vanilli
1989;Toy Soldiers;Martika
1989;Bamboleo;Gipsy Kings
1989;Let The River Run;Carly Simon
1989;Lua e Flor;Oswaldo Montenegro
1989;One;Bee Gees
1989;Walking Away;Information Society
1989;Specially For You;Kylie Minogue & Jason Donovan
1989;Kokomo;Beach Boys
1989;Domino Dancing;Pet Shop Boys
1989;How Can I Go On?;Freddie Mercury & Montserrat Caballé
1989;Sonho Encantado;Yahoo
1989;One Moment In Time;Whitney Houston
1989;Renascer;Zizi Possi
1989;Paradise City;Guns N Roses
1989;Miss You Much;Janet Jackson
1989;Dreamin;Vanessa Williams
1989;Dont Rush Me In;Taylor Dayne
1989;If I Could Turn Back Time;Cher
1989;Groovy Kind Of Love;Phil Collins
1989;O Tempo Não Para;Simone
1989;Hey Jude;Kiko Zambianchi
1989;Jade;João Bosco
1989;I Believe In You;Stryper
1989;In Your Room;Bangles
1989;Dizer Não é Dizer Sim;Kid Abelha
1989;Babilônia Maravilhosa;Evandro Mesquita
1989;Orinoco Flow (Sail Away);Enya
1989;Ill Be Loving You (Forever);New Kids On The Block
1989;Que Rei Sou Eu?;Eduardo Dusek & Luni
1989;Someday Well Be Together (El Camino);Santa Fé
1989;Eu Te Amo;Zezé Di Camargo & Luciano
1989;Wild, Wild West;The Escape Club
1989;Flores;Titãs
1989;What I Am;Edie Brickell & New Bohemians
1989;Desejo de Amar;João Paulo & Daniel
1989;Alma Gêmea;Sandra de Sá
1989;Every Rose Has Its Thorn;Poison
1989;Feira de Acari;M.C. Batata
1989;Ill Always Love You;Taylor Dayne
1989;A Lua e o Mar;Moraes Moreira e Pepeu Gomes
1989;Burguesia;Cazuza
1989;Amarra o Teu Arado a Uma Estrela;Gilberto Gil
1989;When The Children Cry;White Lion
1989;Madrugada Amiga;Ataíde & Alexandre
