ano;musica;artista
1988;Faz Parte do Meu Show;Cazuza
1988;One More Try;George Michael
1988;(Ive Had) The Time Of My Life;Bill Medley & Jennifer Warnes
1988;Piano In The Dark;Brenda Russell
1988;Ideologia;Cazuza
1988;Sweet Child O Mine;Guns N Roses
1988;Shes Like The Wind;Patrick Swayze & Wendy Fraser
1988;Mordida de Amor (Love Bites);Yahoo
1988;Brasil;Gal Costa
1988;Baby Can I Hold You;Tracy Chapman
1988;Marvin (Patches);Titãs
1988;Where Do Broken Hearts Go;Whitney Houston
1988;Kissing A Fool;George Michael
1988;Red Red Wine;UB40
1988;Ive Been In Love Before;Cutting Crew
1988;Mais Uma Vez;Placa Luminosa
1988;Tá Combinado;Maria Bethânia
1988;Anything For You;Gloria Estefan & Miami Sound Machine
1988;Odé e Adão;Luiz Caldas
1988;Todo Sentimento;Verônica Sabino
1988;Couldve Been;Tiffany
1988;Intuição;Oswaldo Montenegro
1988;Manuel;Ed Motta
1988;Preciso Dizer Que Te Amo;Marina
1988;Need You Tonight;INXS
1988;I Get Weak;Belinda Carlisle
1988;Love Bites;Def Leppard
1988;Man In The Mirror;Michael Jackson
1988;Father Figure;George Michael
1988;Dont Worry Be Happy;Bobby McFerrin
1988;Never Gonna Give You Up;Rick Astley
1988;Quase Um Segundo;Os Paralamas do Sucesso
1988;What Have I Done To Deserve It?;Pet Shop Boys & Dusty Springfield
1988;A Cura;Lulu Santos
1988;Wishing Well;Terence Trent DArby
1988;Pense, Dance;Barão Vermelho
1988;Seasons Change;Exposé
1988;Faith;George Michael
1988;A Oitava Cor;Fundo de Quintal
1988;Peão;Almir Sater
1988;Paradise;Sade
1988;Build;Housemartins
1988;Girlfriend;Pebbles
1988;Got My Mind Set On You;George Harrison
1988;Rumo Certo;Sula Miranda
1988;Amor Bandido;Joanna
1988;Silent Morning;Noel
1988;The Flame;Cheap Trick
1988;Never Say Goodbye;Bon Jovi
1988;O Beco;Os Paralamas do Sucesso
1988;Espuma de Cerveja;Gian & Giovani
1988;Get Outta My Dreams, Get Into My Car;Billy Ocean
1988;Promises;Basia
1988;Thats What Love Is All About;Michael Bolton
1988;Verdades e Mentiras;Maria Bethânia
1988;Você em Minha Vida;Gian & Giovani
1988;Pink Cadillac;Natalie Cole
1988;Foolish Beat;Debbie Gibson
1988;I Dont Want Go On With You Like That;Elton John
1988;Breakout;Swing Out Sister
1988;Well Be Together;Sting
1988;Lost In Emotion;Lisa Lisa & Cult Jam
1988;1,2,3;Gloria Estefan & The Miami Sound Machine
1988;A Sombra da Partida;Ritchie
1988;Nothings Gonna Change My Love For You;Glen Medeiros
1988;Love Changes Everything;Climie Fisher
1988;The Way You Make Me Feel;Michael Jackson
1988;Devil Inside;INXS
1988;Penso Nisso Amanhã;Nico Resende
1988;Strangelove;Depeche Mode
1988;Roll With It;Steve Winwood
1988;I Dont Want To Live Without You;Foreigner
1988;Vida Fácil;Cazuza
1988;Together Forever;Rick Astley
1988;Shattered Dreams;Johnny Hates Jazz
1988;I Saw Him Standing There;Tiffany
1988;Dirty Diana;Michael Jackson
1988;Out Of The Blue;Debbie Gibson
1988;Sonhos;Jane Doboc
1988;Sugar Free;Wa Wa Nee
1988;Lá Vem o Sol;Lulu Santos
1988;Marys Prayer;Danny Wilson
1988;Just To See Her;Smokey Robinson
1988;É;Gonzaguinha
1988;Endless Summer Nights;Richard Marx
1988;I Dont Wanna Live Without Your Love;Chicago
1988;Never Tear Us Apart;INXS
1988;Lessons In Love;Level 42
1988;I Think Were Alone Now;Tiffany
1988;Summertime;Rosa Maria & Tony Osanah
1988;Luka;Suzanne Vega
1988;Vamos Dançar;Ed Motta
1988;Tico-Tico;Manhoso
1988;Didnt We Almost Have It All;Whitney Houston
1988;Unchain My Heart;Joe Cocker
1988;Amante Anônimo;Gian & Giovani
1988;Angel;Aerosmith
1988;Ill Always Love You;Taylor Dayne
1988;Lost In You;Rod Stewart
1988;So Long;Eddy Benedict
