ano;musica;artista
1999;Sozinho;Caetano Veloso (Universal)
1999;Mina de Fé;Os Morenos (Universal)
1999;Pra Falar A Verdade;Daniel (Continental)
1999;Me Apaixonei Pela Pessoa Errada;Exaltasamba (EMI)
1999;Pela Vida Inteira;Kiloucura (BMG)
1999;Shes All I Ever Had;Ricky Martin (Sony)
1999;Corazón Partio;Alejandro Sanz (Warner)
1999;Nunca Vou Deixar Você;Karametade (Sony)
1999;Só Love;Claudinho & Buchecha (Universal)
1999;I Want It That Way;Backstreet Boys (Virgin)
1999;Dois Corações E Uma História;Zezé Di Camargo & Luciano (Sony)
1999;Cachorrada;Gabriel O Pensador (Sony)
1999;Vai Dar Samba;Daniel (Continental)
1999;Mambo N.o 5;Lou Bega (BMG)
1999;Universo de Prazer;Da Melhor Qualidade (Atração)
1999;O Vento;Jota Quest (Sony)
1999;Não Foi A Toa;Soweto (EMI)
1999;Pare!;Zezé Di Camargo & Luciano (Sony)
1999;Tá Tudo Bem;Ivete Sangalo (Universal)
1999;Depois;Pato Fu (BMG)
1999;Sai da Minha Aba;Só Pra Contrariar (BMG)
1999;Farol das Estrelas;Soweto (EMI)
1999;120... 150... 200 Km Por Hora;Leonardo (BMG)
1999;Quando A Gente Ama;Os Travessos (Atração)
1999;Believe;Cher (Warner)
1999;Anna Júlia;Los Hermanos (Abril)
1999;Indecisão;Netinho (Universal)
1999;Ela É Demais;Rick & Renner (Continental)
1999;Mel Na Minha Boca;Desejos (PlayArte)
1999;Quando Você Me Beija;Art Popular (EMI)
1999;Sorriso de Marfim;Sensação (Continental)
1999;Minha Razão de Viver;Ara Ketu (Sony)
1999;E Aí;Swing & Simpatia (Sony)
1999;Bem Querer;Maurício Manieri (Abril)
1999;Goodbye;Spice Girls (Virgin)
1999;Xereta;Claudinho & Buchecha (BMG)
1999;Genie In A Bottle;Christina Aguilera (BMG)
1999;Eternamente;Sem Compromisso (Continental)
1999;Someday;Sugar Ray (Warner)
1999;From This Moment On;Shania Twain (Universal)
1999;Fly Away;Lenny Kravitz (Warner)
1999;A Cor do Sol;Cidade Negra (Sony)
1999;Mandrake e Os Cubanos;Skank (Sony)
1999;Interfone;Só Pra Contrariar (BMG)
1999;Hoje A Noite Não Tem Luar;Legião Urbana (EMI)
1999;O Pinto;Raça Pura (BMG)
1999;Machuca Demais;Só Pra Contrariar (BMG)
1999;If You Had My Love;Jennifer Lopez (Sony)
1999;Seu Balancê;Zeca Pagodinho (Universal)
1999;Mentira Que Virou Paixão;Leonardo (BMG)
1999;Mulher de Fases;Raimundos (Warner)
1999;Alma e Coração;José Augusto (Sony)
1999;Pior é Te Perder;Zezé Di Camargo & Luciano (Sony)
1999;Samba Rock do Molejão;Molejo (BMG)
1999;Imortal;Sandy & Junior (Universal)
1999;Deus Me Livre;Raça Negra (Universal)
1999;She;Elvis Costello (Warner)
1999;Dois Amigos;Julio Iglesias/Zezé Di Camargo & Luciano (Sony)
1999;Tu Mandas no Meu Coração;Os Travessos (Atração)
1999;Youll Be In My Heart;Phil Collins (Abril)
1999;Eu Não Vou;Fat Family (EMI)
1999;Lamba Tchan;É O Tchan (Universal)
1999;Amanhã;Roberta Miranda & Reginaldo Rossi (Universal)
1999;Y, Si Fuera Ella?;Alejandro Sanz (Warner)
1999;Minha Deusa;Katinguelê (Continental)
1999;A Gente Se Entrega;Rionegro & Solimões (Polydor)
1999;Mania de Você;Pepê & Neném (Virgin)
1999;Livin La Vida Loca;Ricky Martin (Sony)
1999;Dança do Vampiro;Asa de Águia (BMG)
1999;Carona do Amor;Exaltasamba (EMI)
1999;Juliana (A Boa);Raça Pura (BMG)
1999;No Fundo do Coração;Sandy & Junior (Universal)
1999;Last Kiss;Pearl Jam (Sony)
1999;Kiss Me;Sixpence None The Richer (Warner)
1999;Tô Fazendo Falta;Joanna (BMG)
1999;Vida Vazia;Bruno & Marrone (Abril)
1999;To Love You More;Celine Dion (Sony)
1999;A Mais Pedida;Raimundos (Warner)
1999;Te Perdi;Chris Durán (Universal)
1999;You Get What You Give;New Radicals (Universal)
1999;Declaração de Amor;Daniel (Continental)
1999;Fácil;Jota Quest (Sony)
1999;Palpite;Terra Samba (Globo/Universal)
1999;Cara de Pau;Rick & Renner (Continental)
1999;Meu Casamento;Kiloucura (BMG)
1999;Muleca;Rick & Renner (Continental)
1999;Doo Wop (That Thing);Lauryn Hill (Sony)
1999;Pretty Fly (For A White Guy);The Offspring (Sony)
1999;Never There;Cake (Universal)
1999;Uh! Tiazinha;Tiazinha & Vinny (Sony)
1999;Garçon (ao vivo);Reginaldo Rossi (Sony)
1999;I Still Believe;Mariah Carey (Sony)
1999;Every Morning;Sugar Ray (Warner)
1999;...Baby One More Time;Britney Spears (Virgin)
1999;Sai da Frente;Art Popular (EMI)
1999;Sometimes;Britney Spears (Virgin)
1999;Pelados em Santos;Titãs (Warner)
1999;Scar Tissue;Red Hot Chili Peppers (Warner)
1999;De Ladinho;Banda Eva (Universal)
1999;Cadê Você Que Não Está;Sandy & Junior (Universal)
