ano;musica;artista
1996;Garota Nacional;Skank
1996;Change The World;Eric Clapton
1996;Estou Apaixonado (Estoy Enamorado);João Paulo & Daniel
1996;Macarena (bayside boys mix);Los Del Rio
1996;One Sweet Day;Mariah Carey & Boyz II Men
1996;Sem Medo de Ser Feliz;Zezé Di Camargo & Luciano
1996;Recado a Minha Amada;Katinguelê
1996;You Learn;Alanis Morissette
1996;À Primeira Vista;Daniela Mercury
1996;Eu Juro (I Swear);Leandro & Leonardo
1996;Killing Me Softly;Fugees
1996;Jesus To A Child;George Michael
1996;One Of Us;Joan Osborne
1996;Indiferença;Zezé Di Camargo & Luciano
1996;É o Tchan (Pot-Pourri);Gera Samba
1996;Wonderwall;Oasis
1996;Beleza Rara;Banda Eva
1996;Missing;Everything But The Girl
1996;Because You Loved Me;Celine Dion
1996;Dança da Cordinha;É o Tchan
1996;Vai Sacudir, Vai Abalar;Cheiro de Amor
1996;Minha Estrela Perdida;Gian & Giovani
1996;Doce Mistério;Leandro & Leonardo
1996;Felicidade Que Saudade de Você;Zezé Di Camargo & Luciano
1996;Teu Charme;Os Morenos
1996;Não Vá Ainda;Zélia Duncan
1996;Pinga;Pato Fu
1996;A Namorada;Carlinhos Brown
1996;S.O.S. Brasil;Cidade Negra
1996;A Dança do Bumbum;É o Tchan
1996;How Deep Is Your Love;Take That
1996;La Bella Luna;Os Paralamas do Sucesso
1996;Na Rua, Na Chuva, Na Fazenda;Kid Abelha
1996;Tic, Tic Tac;Carrapicho
1996;Exhale (Shoop Shoop);Whitney Houston
1996;Always Be My Baby;Mariah Carey
1996;Estoy Enamorado;Donato & Estefano
1996;Tô Pensando Nela;Gian & Giovani
1996;Youre Makin Me High;Toni Braxton
1996;Me Dê Uma Chance;Cleiton & Camargo
1996;No Compasso do Criador;Katinguelê
1996;I Love You Always Forever;Donna Lewis
1996;Free As A Bird;Beatles
1996;Follow You Down;Gin Blossoms
1996;Bom Bocado;Art Popular
1996;Theme From Mission: Impossible;Adam Clayton & Larry Mullen
1996;Chora, Viola;Rionegro & Solimões
1996;Com Qual Carícia;João Paulo & Daniel
1996;Nobody Knows;The Tony Rich Project
1996;Children;Robert Miles
1996;Name;Goo Goo Dolls
1996;Água Mineral;Timbalada
1996;Tha Crossroads;Bone Thugs-N-Harmony
1996;Ironic;Alanis Morissette
1996;O Samba Não Tem Fronteiras;Só Pra Contrariar
1996;Sittin Up My Room;Brandy
1996;A Long December;Counting Crows
1996;Soul de Verão (Fame);Sandra de Sá
1996;Brasil é o País do Suingue;Fernanda Abreu
1996;Florentina;Tiririca
1996;Teu Cafuné;Maurício Mattar
1996;Tão Seu;Skank
1996;Eu Te Amo, Te Amo, Te Amo;Roberta Miranda
1996;Da Bomb;Inner Circle
1996;É Uma Partida de Futebol;Skank
1996;December;Collective Soul
1996;Papel de Chiclete;Gian & Giovani
1996;Devagar, Devagarinho;Martinho da Vila
1996;Sozinho;Raça Negra
1996;Miss Sarajevo;U2 & Luciano Pavarotti
1996;La Forza Della Vita;Renato Russo
1996;The Woman In Me;Shania Twain
1996;How Do U Want It;2Pac (featuring KC & JoJo)
1996;Vermelho;Márcia Freire
1996;À Primeira Vista;Chico César
1996;Its All Come Back To Me Now;Celine Dion
1996;Vem Ser Feliz;Ricardo Chaves
1996;Mama Africa;Chico César
1996;Templo;Renata Arruda
1996;Coração Gelado;José Augusto
1996;Ibiza Dance;Roupa Nova
1996;No Diggitty;BLACKstreet featuring Dr. Dre
1996;Estoy Aqui;Shakira
1996;Coração Sertanejo;Chitãozinho & Xororó
1996;Head Over Feet;Alanis Morissette
1996;Dont Look Back In Anger;Oasis
1996;Leva;Placa Luminosa
1996;Achy Break Heart;Billy Ray Cyrus
1996;Firmamento;Cidade Negra
1996;Where Do You Go;No Mercy
1996;Lourinha Bombril;Os Paralamas do Sucesso
1996;Na Boquinha da Garrafa;Companhia do Pagode
1996;Bailão de Peão;Chitãozinho & Xororó
1996;Loungin;LL Cool J
1996;A Feira;O Rappa (Warner)
1996;Breakfast At Tiffanys;Deep Blue Something
1996;Preciso de Você;Netinho
1996;Words;Boyzone
1996;Nas Ondas do Partido;Fundo de Quintal
1996;Tanajura;Negritude Jr.
