ano;musica;artista
1995;Take A Bow;Madonna
1995;Vira Vira;Mamonas Assassinas
1995;Pelados em Santos;Mamonas Assassinas
1995;Have You Ever Really Loved A Woman?;Bryan Adams
1995;Kiss From A Rose;Seal
1995;Eu Me Amarrei;João Paulo & Daniel
1995;Lá Vem o Negão;Cravo & Canella
1995;Catedral;Zélia Duncan
1995;Na Boquinha da Garrafa;Companhia do Pagode
1995;Fantasy;Mariah Carey
1995;Xô Satanás;Asa de Águia
1995;O Que é Que a Gente Não Faz Por Amor;Gian & Giovani
1995;Foi a Primeira Vez;Zezé Di Camargo & Luciano
1995;Back For Good;Take That
1995;You Gotta Be;Desree 
1995;Pacato Cidadão;Skank
1995;Creep;TLC
1995;The Rhythm Of The Night;Corona
1995;Run Away;Real McCoy
1995;You Are Not Alone;Michael Jackson
1995;On Bended Knee;Boyz II Men
1995;Tão Só;Só Pra Contrariar
1995;This Is How We Do It;Montell Jordan
1995;Estudo Errado;Gabriel O Pensador
1995;Another Girl;Real McCoy
1995;Sweet Dreams;La Bouche
1995;Paparico;Molejo
1995;Beijo na Boca ;Netinho
1995;Malandragem;Cássia Eller
1995;Frente a Frente;Royce do Cavaco
1995;Red Light Special;TLC
1995;Waterfalls;TLC
1995;Preciso de Você;Netinho
1995;Prazer Por Prazer;Chrystian & Ralf
1995;Bailão de Peão;Chitãozinho & Xororó
1995;Runaway;Janet Jackson
1995;Gangstas Paradise;Coolio featuring L.V.
1995;Pareço Um Menino;Fábio Jr.
1995;Demorou Para Abalar;Grupo Pirraça
1995;Corpo Lúcido;Katinguelê
1995;Absoluta;Negritude Jr.
1995;No More "I Love Yous";Annie Lennox
1995;Preciso Dizer Que Te Amo;Leo Jaime
1995;Boombastic;Shaggy
1995;Domingo;Titãs
1995;Festa de Rodeio;Leandro & Leonardo
1995;Run Around;Blues Traveler
1995;Take A Toke;C+C Music Factory 
1995;Samba Pras Moças;Zeca Pagodinho
1995;Total Eclipse Of The Heart;Nicki French
1995;Be My Lover;La Bouche
1995;Que Dure Para Sempre;João Paulo & Daniel
1995;Pra Sempre Vou Te Amar;Wilson & Soraia
1995;É Tarde Demais;Raça Negra
1995;Save Me Now;Andru Donalds
1995;Marrom Bombom;Os Morenos
1995;One Sweet Day;Mariah Carey & Boyz II Men
1995;Black Roses;Inner Circle
1995;Short Dick Man;20 Fingers featuring Gillette
1995;Always;Bon Jovi
1995;Sereia;Lulu Santos
1995;Before I Let You Go;BLACKstreet
1995;Only Wanna Be With You;Hootie & The Blowfish
1995;Here Comes The Hotstepper;Ini Kamoze
1995;Dreaming Of You;Selena
1995;Admito Que Perdi;Marina Lima
1995;Me Abraça;Banda Eva
1995;There Is A Party;DJ Bobo
1995;Página de Amigos;Chitãozinho & Xororó
1995;Over My Shoulder;Mike + The Mechanics
1995;Tara;Cheiro de Amor
1995;Let Her Cry;Hootie & The Blowfish
1995;Nunca Mais Te Machucar;Só Pra Contrariar
1995;Pão de Mel;Zezé Di Camargo & Luciano
1995;E o Bicho Vai Pegar;Terra Samba
1995;Robocop Gay;Mamonas Assassinas
1995;Mishale;Andru Donalds
1995;Strong Enough;Sheryl Crow
1995;Scream;Michael Jackson & Janet Jackson
1995;Viola Caipira;Gian & Giovani
1995;Esse Amor Que me Mata;Chrystian & Ralf
1995;Vem Me Dar Um Beijo/Tô Querendo;Fundo de Quintal
1995;Toneladas de Desejo;Timbalada
1995;Tá Delícia, Tá Gostoso;Martinho da Vila
1995;Cotton Eye Joe;Rednex
1995;Dont Take It Personal;Monica
1995;I Believe;Blessid Union Of Souls
1995;Chains;Tina Arena
1995;Trilhas (Traces);Guilherme Arantes
1995;Candy Rain;Soul For Real
1995;I Know;Dionne Farris
1995;Hold My Hand;Hootie & The Blowfish
1995;Scatman (Ski-Ba-Bop-Ba-Dop-Bop);Scatman John
1995;Delícia de Amor;Grupo Raça 
1995;Primeiros Erros (Chove);Simonny
1995;I Could Fall In Love;Selena
1995;Alcohol;Jorge Benjor
1995;A Lata;Fernanda Abreu
1995;Legalize Já;Planet Hemp
1995;Quem é Você;Simone
