ano;musica;artista
1986;Greatest Love Of All;Whitney Houston
1986;Take My Breath Away;Berlin
1986;Demais;Verônica Sabino
1986;Eduardo e Mônica;Legião Urbana
1986;Quando Gira o Mundo;Fábio Jr.
1986;The Captain Of Her Heart;Double
1986;Alagados;Os Paralamas do Sucesso
1986;Sina;Djavan
1986;Nikita;Elton John
1986;Thats What Friends Are For;Dionne Warwick & Friends
1986;On My Own;Patti LaBelle & Michael McDonald
1986;Aauu;Titãs
1986;Só Pro Meu Prazer;Heróis da Resistência
1986;Words Get In The Way;Gloria Estefan/Miami Sound Machine
1986;Say You, Say Me;Lionel Richie
1986;Índios;Legião Urbana
1986;Perigo;Zizi Possi
1986;True Colors;Cyndi Lauper
1986;Bad Boy;Miami Sound Machine
1986;Rock Me Amadeus;Falco
1986;Sweet Love;Anita Baker
1986;Só Pra Contrariar;Fundo de Quintal
1986;Transas;Ritchie
1986;Joga Fora;Sandra Sá
1986;Nem Um Toque;Rosana
1986;Glory Of Love;Peter Cetera
1986;Holding Back The Years;Simply Red
1986;Decadence Avec Elegance;Lobão & Os Ronaldos
1986;When I Think Of You;Janet Jackson
1986;Tempo Perdido;Legião Urbana
1986;Broken Wings;Mr. Mister
1986;Música Urbana;Capital Inicial
1986;Só o Fim;Camisa de Venus
1986;Taken In;Mike + The Mechanics
1986;I Miss You;Klymaxx
1986;Julieta;Sandro Becker
1986;Kiss;Prince & The Revolution
1986;More Than I Can Bare;Matt Bianco
1986;Toda Forma de Poder;Engenheiros do Hawaii
1986;Garotos;Kid Abelha
1986;Duel;Propaganda
1986;Why Worry;Dire Straits
1986;The Sweetest Taboo;Sade
1986;West End Girls;Pet Shop Boys
1986;Sweet Freedom;Michael McDonald
1986;Something About You;Level 42
1986;Alive & Kicking;Simple Minds
1986;If Looks Could Kill;Heart
1986;Therell Be Sad Songs (To Make You Cry);Billy Ocean
1986;Tudo Bem;Lulu Santos
1986;Livre Pra Viver;Claudio Zoli
1986;Live To Tell;Madonna
1986;Venus;Bananarama
1986;Sledgehammer;Peter Gabriel
1986;Forever Young;Alphaville
1986;Você;Os Paralamas do Sucesso
1986;Secret Lovers;Atlantic Starr
1986;Burning Heart;Survivor
1986;Conga;Miami Sound Machine
1986;Sara;Starship
1986;So Far Away;Dire Straits
1986;These Dreams;Heart
1986;Deus Nos Acuda;Fundo de Quintal
1986;Casanova;Lulu Santos
1986;Yes;Tim Moore
1986;Garota de Berlim;Tokyo
1986;Dancing On The Ceiling;Lionel Richie
1986;With You All The Way;New Edition
1986;In Between Days;The Cure
1986;Papa Dont Preach;Madonna
1986;Ill Be Over You;Toto
1986;If You Leave;Orchestral Manoeuvres In The Dark
1986;The Finest;SOS Band
1986;Sahara Night;F.R. David
1986;New York, Rio, Tokyo;Trio Rio
1986;Sintonia;Moraes Moreira
1986;Judia de Mim;Zeca Pagodinho
1986;Im Your Man;Wham!
1986;Higher Love;Stevie Winwood
1986;Caminhoneiro do Amor;Sula Miranda
1986;Do Leme ao Pontal;Tim Maia
1986;Stuck With You;Huey Lewis & The News
1986;Gosto do Prazer;A Cor do Som/Gilberto Gil
1986;Ill Never Be (Maria Magdalena);Sandra
1986;Em Flor (Too Young);Simone
1986;Only Love;Nana Mouskouri
1986;Dont Forget Me (When Im Gone);Glass Tiger
1986;Polícia;Titãs
1986;Living In America;James Brown
1986;Melô do Marinheiro;Os Paralamas do Sucesso
1986;Codinome Beija-Flor;Cazuza
1986;Its Only Love;Bryan Adams & Tina Turner
1986;Maniac Monday;Bangles
1986;Gato Encantado;Claudia Olivetti
1986;I Love You Baby;Adriana
1986;Sede dos Marujos;Ivan Lins
1986;Invisible Touch;Genesis
1986;Anos Dourados;Maria Bethânia
1986;Só Eu Sei;Gilliard
1986;Veraneio Vascaína;Capital Inicial
